Wavelength value
640nm	886.020508
641nm	884.471985
642nm	882.103821
643nm	879.785461
644nm	877.507935
645nm	874.428833
646nm	871.472473
647nm	869.433655
648nm	866.410339
649nm	862.533997
650nm	858.227112
651nm	853.970276
652nm	850.161194
653nm	847.848938
654nm	846.801270
655nm	847.284912
656nm	848.123901
657nm	849.483887
658nm	850.855103
659nm	852.234741
660nm	855.303528
661nm	858.842285
662nm	863.254578
663nm	867.385620
664nm	871.341003
665nm	872.248901
666nm	872.777344
667nm	872.719116
668nm	872.239929
669nm	871.546326
670nm	870.430847
671nm	869.550110
672nm	869.012146
673nm	868.000061
674nm	866.735291
675nm	864.775269
676nm	862.765930
677nm	860.708923
678nm	857.554993
679nm	853.678711
680nm	848.131104
681nm	840.033875
682nm	830.444153
683nm	819.804138
684nm	809.732239
685nm	800.535645
686nm	792.683228
687nm	785.562683
688nm	780.212341
689nm	776.000427
690nm	772.708679
691nm	772.413208
692nm	773.492126
693nm	776.916565
694nm	781.703735
695nm	786.780212
696nm	790.523621
697nm	794.028625
698nm	797.325439
699nm	800.208313
700nm	802.495972
701nm	803.697571
702nm	805.316528
703nm	807.045471
704nm	808.630676
705nm	809.596680
706nm	810.106934
707nm	810.356750
708nm	809.980103
709nm	808.705750
710nm	804.254578
711nm	797.981689
712nm	788.262878
713nm	776.932312
714nm	764.852051
715nm	752.833679
716nm	741.947449
717nm	732.026367
718nm	721.894165
719nm	712.646667
720nm	704.683594
721nm	698.184753
722nm	693.156738
723nm	691.096924
724nm	692.235352
725nm	694.887390
726nm	699.135315
727nm	704.360168
728nm	710.179260
729nm	716.187988
730nm	722.895020
731nm	730.211060
732nm	739.358887
733nm	747.860779
734nm	755.554260
735nm	763.778076
736nm	771.217529
737nm	777.277954
738nm	782.619629
739nm	787.284729
740nm	790.763733
741nm	793.774536
742nm	796.576660
743nm	799.148193
744nm	800.676636
745nm	801.521240
746nm	801.245544
747nm	800.810120
748nm	799.802917
749nm	796.654541
750nm	791.530334
751nm	784.400818
752nm	772.070557
753nm	754.073975
754nm	732.104431
755nm	704.342590
