Model Name	LI-180
Serial Number	A21M0027
Time	2024/06/12_08:04:12
PPFD	486.563904
PFD	650.676819
PFD-UV	8.439716
PFD-B	117.981789
PFD-G	173.024048
PFD-R	195.557968
PFD-FR	155.673264
RFR(600~780nm)	351.231262
CHLB(430~480nm)	63.198345
Custom3(380~780nm)	650.676819
Custom4(380~780nm)	650.676819
UV%	1.297067
B%	18.132164
G%	26.591394
R%	30.054546
FR%	23.924820
RFR%	53.979374
CHLB%	9.712708
Custom3%	100.000000
Custom4%	100.000000
R:B	1.657527
R:FR	1.256208
R:G	1.130236
B:G	0.681881
UV:B	0.071534
UV:FR	0.054214
B:G:R	0.000000
B:R:FR	0.000000
UV:B:G:R:FR	0.000000
RFR(PFD-R:PFD-FR)	1.256208
BRAT(CHLB:PFD-B)	0.535662
Ratio3	0.000000
Ratio4	0.000000
LambdaP	551.000000
LambdaPV	388.107971
LambdaD	568.000000
LUX	27355.611328
IRR	132.447128
fc	2542.343018
I-Time	26.000000
380nm	106.401978
381nm	108.224213
382nm	108.903908
383nm	109.457321
384nm	110.218819
385nm	111.242119
386nm	113.999146
387nm	116.040085
388nm	115.913368
389nm	117.151489
390nm	120.754761
391nm	123.167038
392nm	124.309464
393nm	128.786530
394nm	135.463303
395nm	142.880661
396nm	150.583664
397nm	158.171356
398nm	165.737320
399nm	175.730331
400nm	185.603104
401nm	193.052002
402nm	200.817810
403nm	209.822571
404nm	216.831161
405nm	219.707413
406nm	222.447296
407nm	225.019424
408nm	227.143784
409nm	228.932571
410nm	231.437256
411nm	234.255081
412nm	236.938675
413nm	239.592880
414nm	241.130524
415nm	242.678680
416nm	245.192764
417nm	247.289032
418nm	247.698776
419nm	248.190521
420nm	248.851715
421nm	249.081497
422nm	248.793640
423nm	248.124878
424nm	247.184448
425nm	245.082993
426nm	242.515717
427nm	242.347595
428nm	242.621597
429nm	244.357422
430nm	246.235016
431nm	248.982452
432nm	251.694641
433nm	254.296280
434nm	257.861237
435nm	263.023743
436nm	269.465332
437nm	277.129272
438nm	283.078522
439nm	288.083984
440nm	292.265625
441nm	296.213562
442nm	300.071167
443nm	304.028442
444nm	310.042816
445nm	315.940674
446nm	321.331360
447nm	325.974640
448nm	329.064362
449nm	331.975159
450nm	334.679138
451nm	337.990234
452nm	341.699738
453nm	344.122620
454nm	346.104584
455nm	347.601379
456nm	349.040405
457nm	350.611786
458nm	352.285126
459nm	354.441498
460nm	356.246002
461nm	357.301849
462nm	358.034668
463nm	358.397583
464nm	358.748688
465nm	359.092316
466nm	359.463257
467nm	359.842651
468nm	360.120026
469nm	360.420166
470nm	361.198151
