Model Name	LI-180
Serial Number	A21M0027
Time	2025/06/30_17:38:22
679nm	3.644635
680nm	3.100147
681nm	2.631203
682nm	2.207735
683nm	1.919641
684nm	1.662732
685nm	1.453864
686nm	1.294378
687nm	1.146263
688nm	0.984198
689nm	0.868262
690nm	0.789608
691nm	0.714540
692nm	0.658621
693nm	0.639781
694nm	0.578554
695nm	0.510187
696nm	0.495432
697nm	0.471034
698nm	0.438217
699nm	0.423530
700nm	0.409368
701nm	0.393894
702nm	0.376946
703nm	0.360094
704nm	0.346241
705nm	0.343077
706nm	0.347780
707nm	0.335881
708nm	0.332296
709nm	0.340860
710nm	0.343170
711nm	0.334470
712nm	0.297237
713nm	0.306693
714nm	0.332864
715nm	0.316278
716nm	0.300543
717nm	0.285535
718nm	0.302444
719nm	0.308925
720nm	0.299104
721nm	0.310632
722nm	0.326470
723nm	0.343506
724nm	0.317962
725nm	0.288814
726nm	0.314056
727nm	0.307530
728nm	0.284275
729nm	0.284627
730nm	0.289157
731nm	0.297329
732nm	0.331400
733nm	0.344334
734nm	0.331193
735nm	0.312707
736nm	0.295147
737nm	0.279962
738nm	0.285042
739nm	0.292051
740nm	0.295130
741nm	0.307982
742nm	0.326311
743nm	0.352605
744nm	0.354533
745nm	0.352595
746nm	0.367094
747nm	0.347400
748nm	0.318616
749nm	0.312063
750nm	0.295056
751nm	0.282498
752nm	0.315354
753nm	0.329254
754nm	0.332898
755nm	0.332812
756nm	0.364372
757nm	0.397696
758nm	0.358123
759nm	0.332076
760nm	0.325938
761nm	0.380958
762nm	0.400461
763nm	0.403472
764nm	0.404681
765nm	0.376783
766nm	0.354034
767nm	0.384154
768nm	0.387277
769nm	0.378477
770nm	0.361130
771nm	0.392118
772nm	0.399314
773nm	0.339728
774nm	0.372691
775nm	0.388207
776nm	0.360431
777nm	0.361745
778nm	0.375002
779nm	0.396374
780nm	0.353360
CCT	0.000000
Duv	0.650144
x	0.693978
y	0.282595
u'	0.554828
v'	0.508347
deltax	0.693978
deltay	0.282595
deltau'	0.554828
deltav'	0.508347
Purity	92.887878
CRI	0.000000
R1	0.000000
R2	0.000000
R3	0.000000
R4	0.000000
R5	0.000000
R6	0.000000
R7	0.000000
R8	0.000000
R9	0.000000
R10	0.000000
R11	0.000000
R12	0.000000
R13	0.000000
R14	0.000000
R15	0.000000
