Model Name	LI-180
Serial Number	A21M0027
Time	2025/06/25_15:41:38
PPFD	1.737870
PFD	1.860552
PFD-UV	0.009899
PFD-B	0.425570
PFD-G	0.873257
PFD-R	0.439043
PFD-FR	0.112784
RFR(600~780nm)	0.551827
CHLB(430~480nm)	0.342437
Custom3(380~780nm)	1.860552
Custom4(380~780nm)	1.860552
UV%	0.532020
B%	22.873323
G%	46.935349
R%	23.597445
FR%	6.061859
RFR%	29.659325
CHLB%	18.405128
Custom3%	100.000000
Custom4%	100.000000
R:B	1.031658
R:FR	3.892774
R:G	0.502765
B:G	0.487337
UV:B	0.023259
UV:FR	0.087765
B:G:R	0.000000
B:R:FR	0.000000
UV:B:G:R:FR	0.000000
RFR(PFD-R:PFD-FR)	3.892774
BRAT(CHLB:PFD-B)	0.804655
Ratio3	0.000000
Ratio4	0.000000
LambdaP	445.000000
LambdaPV	3.669367
LambdaD	524.000000
LUX	128.412704
IRR	0.406348
fc	11.934266
I-Time	2000.000000
380nm	0.162365
381nm	0.163213
382nm	0.163250
383nm	0.163169
384nm	0.161342
385nm	0.159944
386nm	0.161385
387nm	0.161500
388nm	0.157597
389nm	0.153582
390nm	0.149374
391nm	0.146914
392nm	0.146320
393nm	0.145536
394nm	0.144627
395nm	0.143613
396nm	0.142558
397nm	0.141222
398nm	0.139834
399nm	0.141258
400nm	0.142605
401nm	0.141844
402nm	0.141940
403nm	0.145386
404nm	0.149544
405nm	0.155175
406nm	0.160337
407nm	0.164920
408nm	0.169552
409nm	0.174219
410nm	0.182054
411nm	0.191275
412nm	0.208080
413nm	0.226545
414nm	0.241159
415nm	0.256523
416nm	0.284453
417nm	0.313144
418nm	0.344907
419nm	0.380797
420nm	0.425213
421nm	0.473244
422nm	0.525611
423nm	0.588115
424nm	0.657848
425nm	0.735281
426nm	0.815804
427nm	0.909241
428nm	1.005057
429nm	1.118925
430nm	1.235785
431nm	1.373586
432nm	1.516690
433nm	1.676414
434nm	1.845996
435nm	2.031929
436nm	2.225890
437nm	2.427525
438nm	2.634893
439nm	2.845416
440nm	3.041422
441nm	3.233310
442nm	3.383248
443nm	3.525944
444nm	3.606006
445nm	3.669367
446nm	3.660062
447nm	3.622260
448nm	3.525228
449nm	3.393926
450nm	3.223000
451nm	3.023322
452nm	2.804777
453nm	2.580294
454nm	2.353775
455nm	2.141052
456nm	1.931135
457nm	1.754957
458nm	1.586052
459nm	1.451592
460nm	1.326791
461nm	1.222543
462nm	1.128669
463nm	1.046673
464nm	0.970184
465nm	0.897159
466nm	0.834063
467nm	0.774058
468nm	0.717963
469nm	0.662948
470nm	0.618315
471nm	0.575202
472nm	0.537609
473nm	0.504279
474nm	0.478224
475nm	0.454621
476nm	0.433243
477nm	0.418997
478nm	0.408103
479nm	0.399642
480nm	0.391654
481nm	0.387246
482nm	0.383339
483nm	0.382069
484nm	0.382321
485nm	0.385853
486nm	0.391473
487nm	0.399364
488nm	0.411694
489nm	0.426490
490nm	0.446735
491nm	0.468276
492nm	0.494480
493nm	0.521736
494nm	0.554617
495nm	0.588892
496nm	0.626258
497nm	0.666525
498nm	0.709921
499nm	0.756611
500nm	0.805051
501nm	0.855740
502nm	0.906905
503nm	0.961827
504nm	1.016836
505nm	1.072249
506nm	1.128556
507nm	1.186493
508nm	1.244381
509nm	1.302228
510nm	1.357191
511nm	1.410996
512nm	1.462211
513nm	1.513257
514nm	1.565875
515nm	1.616645
516nm	1.662254
517nm	1.706543
