Model Name	LI-180
Serial Number	A21M0027
Time	2025/06/30_17:40:51
PPFD	11.317489
PFD	80.324921
PFD-UV	0.069053
PFD-B	0.263576
PFD-G	0.240345
PFD-R	10.813568
PFD-FR	68.938377
RFR(600~780nm)	79.751953
CHLB(430~480nm)	0.124236
Custom3(380~780nm)	80.324921
Custom4(380~780nm)	80.324921
UV%	0.085967
B%	0.328137
G%	0.299216
R%	13.462282
FR%	85.824394
RFR%	99.286690
CHLB%	0.154667
Custom3%	100.000000
Custom4%	100.000000
R:B	41.026451
R:FR	0.156858
R:G	44.991806
B:G	1.096654
UV:B	0.261986
UV:FR	0.001002
B:G:R	0.000000
B:R:FR	0.000000
UV:B:G:R:FR	0.000000
RFR(PFD-R:PFD-FR)	0.156858
BRAT(CHLB:PFD-B)	0.471349
Ratio3	0.000000
Ratio4	0.000000
LambdaP	726.000000
LambdaPV	317.085266
LambdaD	690.000000
LUX	66.575935
IRR	13.404400
fc	6.187355
I-Time	50.000000
380nm	1.296658
381nm	1.322402
382nm	1.273097
383nm	1.215006
384nm	1.137375
385nm	1.074138
386nm	1.106217
387nm	1.113848
388nm	1.047472
389nm	1.025356
390nm	1.079938
391nm	1.075840
392nm	1.009180
393nm	0.955681
394nm	0.910865
395nm	0.953038
396nm	1.028765
397nm	0.969297
398nm	0.884333
399nm	0.912011
400nm	0.943395
401nm	0.965837
402nm	0.985103
403nm	0.991961
404nm	0.970672
405nm	0.891114
406nm	0.863332
407nm	0.899251
408nm	0.961606
409nm	1.043769
410nm	1.051059
411nm	1.025595
412nm	1.023751
413nm	1.027080
414nm	0.997352
415nm	0.963660
416nm	0.903240
417nm	0.857962
418nm	0.873800
419nm	0.880157
420nm	0.866928
421nm	0.855486
422nm	0.846190
423nm	0.797837
424nm	0.721632
425nm	0.747043
426nm	0.813227
427nm	0.821927
428nm	0.820035
429nm	0.807215
430nm	0.797277
431nm	0.813204
432nm	0.815786
433nm	0.776546
434nm	0.747239
435nm	0.734404
436nm	0.755932
437nm	0.810300
438nm	0.800981
439nm	0.756608
440nm	0.764119
441nm	0.786349
442nm	0.757946
443nm	0.726128
444nm	0.719994
445nm	0.711506
446nm	0.692770
447nm	0.674421
448nm	0.656879
449nm	0.645483
450nm	0.641194
451nm	0.645444
452nm	0.655298
453nm	0.656686
454nm	0.655172
455nm	0.610318
456nm	0.561883
457nm	0.576121
458nm	0.583958
459nm	0.561476
460nm	0.551519
461nm	0.568209
462nm	0.572589
463nm	0.562876
464nm	0.568393
465nm	0.583488
466nm	0.588314
467nm	0.589943
468nm	0.602950
469nm	0.619517
470nm	0.672380
471nm	0.699270
472nm	0.631918
473nm	0.588687
474nm	0.586609
475nm	0.597671
476nm	0.620658
477nm	0.572049
478nm	0.489786
479nm	0.526183
480nm	0.585610
481nm	0.617595
482nm	0.639706
483nm	0.608887
484nm	0.590165
485nm	0.597533
486nm	0.605029
487nm	0.612666
488nm	0.612653
489nm	0.608387
490nm	0.548197
491nm	0.474690
492nm	0.493011
493nm	0.508930
494nm	0.495436
495nm	0.489356
496nm	0.499728
497nm	0.499428
498nm	0.487616
499nm	0.513017
500nm	0.558203
501nm	0.528890
502nm	0.483924
503nm	0.484557
504nm	0.489307
505nm	0.513229
506nm	0.512521
507nm	0.466907
508nm	0.458316
509nm	0.482141
510nm	0.497622
511nm	0.509753
512nm	0.501018
513nm	0.490778
514nm	0.491419
515nm	0.495153
516nm	0.507527
517nm	0.530300
518nm	0.565781
519nm	0.578368
520nm	0.577958
521nm	0.528221
522nm	0.470118
523nm	0.515761
524nm	0.544046
525nm	0.507347
526nm	0.494278
527nm	0.515936
528nm	0.509900
529nm	0.485450
530nm	0.479763
531nm	0.478829
532nm	0.455468
533nm	0.434409
534nm	0.423019
535nm	0.420744
536nm	0.432182
537nm	0.465096
538nm	0.512147
539nm	0.493204
540nm	0.459532
541nm	0.483783
542nm	0.502790
543nm	0.503657
544nm	0.484295
545nm	0.438614
546nm	0.423196
547nm	0.424314
548nm	0.425632
549nm	0.429739
550nm	0.467109
551nm	0.493795
552nm	0.494836
553nm	0.489498
554nm	0.478112
555nm	0.457308
556nm	0.433098
557nm	0.443754
558nm	0.451506
559nm	0.439176
560nm	0.461620
561nm	0.534502
562nm	0.506897
563nm	0.421837
564nm	0.464824
565nm	0.526568
566nm	0.578710
567nm	0.606319
568nm	0.584394
569nm	0.569503
570nm	0.559992
571nm	0.570636
572nm	0.582883
573nm	0.520908
574nm	0.495319
575nm	0.561656
576nm	0.594012
577nm	0.595777
578nm	0.597073
579nm	0.598008
580nm	0.586299
581nm	0.563992
582nm	0.512366
583nm	0.509028
584nm	0.551009
585nm	0.593825
586nm	0.635712
587nm	0.624975
588nm	0.621917
589nm	0.638815
590nm	0.625761
591nm	0.586762
592nm	0.579966
593nm	0.585337
594nm	0.654659
595nm	0.679215
596nm	0.609177
597nm	0.604595
598nm	0.646095
599nm	0.616401
600nm	0.585082
601nm	0.627746
602nm	0.637134
603nm	0.595755
604nm	0.602044
605nm	0.631865
606nm	0.688726
607nm	0.728205
608nm	0.701596
609nm	0.660100
610nm	0.603873
611nm	0.637760
612nm	0.688540
613nm	0.631697
614nm	0.636158
615nm	0.752517
616nm	0.775593
617nm	0.746618
618nm	0.758290
619nm	0.772911
620nm	0.787464
621nm	0.787027
622nm	0.772650
623nm	0.806390
624nm	0.854546
625nm	0.929807
626nm	0.956998
627nm	0.915927
628nm	0.906758
629nm	0.911477
630nm	0.974826
631nm	1.018923
632nm	1.023469
633nm	1.066828
634nm	1.132361
635nm	1.212644
636nm	1.281259
637nm	1.315336
638nm	1.376271
639nm	1.456425
640nm	1.593318
641nm	1.718976
642nm	1.784936
643nm	1.859575
644nm	1.941331
645nm	2.066581
646nm	2.208021
647nm	2.388430
648nm	2.569748
649nm	2.751855
650nm	2.940250
651nm	3.143007
652nm	3.397997
653nm	3.680971
654nm	3.987587
655nm	4.299317
656nm	4.627504
657nm	5.010241
658nm	5.453753
659nm	5.943377
660nm	6.462120
661nm	6.988879
662nm	7.530455
663nm	8.152783
664nm	8.825538
665nm	9.604861
666nm	10.396273
667nm	11.205741
668nm	12.155322
669nm	13.177708
670nm	14.372144
671nm	15.611976
672nm	16.918074
673nm	18.369692
674nm	19.870758
675nm	21.411324
676nm	23.116840
677nm	24.981497
678nm	27.084589
679nm	29.281221
680nm	31.656435
681nm	34.250992
682nm	36.975834
683nm	39.947903
684nm	43.122261
685nm	46.608250
686nm	50.409840
687nm	54.383915
688nm	58.777042
689nm	63.353104
690nm	68.077011
691nm	73.439728
692nm	79.002716
693nm	84.884186
694nm	91.156212
695nm	97.628349
696nm	104.484032
697nm	111.611786
698nm	118.977066
699nm	126.445145
700nm	134.083069
701nm	142.032852
702nm	150.043518
703nm	158.087326
704nm	166.198227
705nm	174.466522
706nm	182.850662
707nm	190.994766
708nm	199.235748
709nm	207.618942
710nm	215.924973
711nm	224.211090
712nm	232.484879
713nm	240.705124
714nm	248.915054
715nm	257.246552
716nm	265.497894
717nm	273.680908
718nm	281.446075
719nm	288.972229
720nm	296.170074
721nm	302.204071
722nm	307.588196
723nm	311.888397
724nm	314.870789
725nm	316.948669
726nm	317.085266
727nm	315.583954
728nm	312.908936
729nm	307.876404
730nm	301.323486
731nm	293.444702
732nm	283.151154
733nm	271.905029
734nm	259.523376
735nm	245.516708
736nm	231.005402
737nm	215.917984
738nm	200.539948
739nm	185.161835
740nm	169.900101
741nm	155.072937
742nm	140.641663
743nm	126.992630
744nm	114.339157
745nm	102.346008
746nm	91.449272
747nm	81.500534
748nm	72.212830
749nm	64.043480
750nm	56.698490
751nm	49.913361
752nm	43.957661
753nm	38.778919
754nm	34.113884
755nm	30.083010
756nm	26.561148
757nm	23.413832
