Wavelength(nm)	PFD(umol m-2 s-1)
380	0.004119
381	0.004212
382	0.004065
383	0.003890
384	0.003651
385	0.003457
386	0.003569
387	0.003603
388	0.003397
389	0.003334
390	0.003521
391	0.003516
392	0.003307
393	0.003140
394	0.003000
395	0.003147
396	0.003406
397	0.003217
398	0.002942
399	0.003042
400	0.003154
401	0.003238
402	0.003310
403	0.003342
404	0.003278
405	0.003017
406	0.002930
407	0.003059
408	0.003280
409	0.003569
410	0.003602
411	0.003524
412	0.003526
413	0.003546
414	0.003452
415	0.003343
416	0.003141
417	0.002991
418	0.003053
419	0.003083
420	0.003044
421	0.003011
422	0.002985
423	0.002821
424	0.002558
425	0.002654
426	0.002896
427	0.002934
428	0.002934
429	0.002895
430	0.002866
431	0.002930
432	0.002946
433	0.002811
434	0.002711
435	0.002671
436	0.002755
437	0.002960
438	0.002933
439	0.002777
440	0.002811
441	0.002899
442	0.002800
443	0.002689
444	0.002672
445	0.002647
446	0.002583
447	0.002520
448	0.002460
449	0.002423
450	0.002412
451	0.002433
452	0.002476
453	0.002487
454	0.002486
455	0.002321
456	0.002142
457	0.002201
458	0.002236
459	0.002154
460	0.002121
461	0.002190
462	0.002211
463	0.002179
464	0.002205
465	0.002268
466	0.002292
467	0.002303
468	0.002359
469	0.002429
470	0.002642
471	0.002753
472	0.002493
473	0.002328
474	0.002324
475	0.002373
476	0.002470
477	0.002281
478	0.001957
479	0.002107
480	0.002350
481	0.002483
482	0.002578
483	0.002458
484	0.002388
485	0.002423
486	0.002458
487	0.002494
488	0.002499
489	0.002487
490	0.002245
491	0.001948
492	0.002028
493	0.002097
494	0.002046
495	0.002025
496	0.002072
497	0.002075
498	0.002030
499	0.002140
500	0.002333
501	0.002215
502	0.002031
503	0.002037
504	0.002062
505	0.002167
506	0.002168
507	0.001979
508	0.001946
509	0.002051
510	0.002121
511	0.002177
512	0.002144
513	0.002105
514	0.002111
515	0.002132
516	0.002189
517	0.002292
518	0.002450
519	0.002509
520	0.002512
521	0.002301
522	0.002051
523	0.002255
524	0.002383
525	0.002227
526	0.002173
527	0.002273
528	0.002251
529	0.002147
530	0.002126
531	0.002125
532	0.002026
533	0.001936
534	0.001888
535	0.001882
536	0.001936
537	0.002088
538	0.002303
539	0.002222
540	0.002074
541	0.002188
542	0.002278
543	0.002286
544	0.002202
545	0.001998
546	0.001932
547	0.001940
548	0.001950
549	0.001972
550	0.002148
551	0.002274
552	0.002283
553	0.002263
554	0.002214
555	0.002122
556	0.002013
557	0.002066
558	0.002106
559	0.002052
560	0.002161
561	0.002507
562	0.002381
563	0.001985
564	0.002191
565	0.002487
566	0.002738
567	0.002874
568	0.002775
569	0.002709
570	0.002668
571	0.002724
572	0.002787
573	0.002495
574	0.002377
575	0.002700
576	0.002860
577	0.002874
578	0.002885
579	0.002894
580	0.002843
581	0.002739
582	0.002493
583	0.002481
584	0.002690
585	0.002904
586	0.003114
587	0.003067
588	0.003057
589	0.003145
590	0.003086
591	0.002899
592	0.002870
593	0.002902
594	0.003251
595	0.003378
596	0.003035
597	0.003017
598	0.003230
599	0.003086
600	0.002935
601	0.003154
602	0.003206
603	0.003003
604	0.003040
605	0.003196
606	0.003489
607	0.003695
608	0.003566
609	0.003360
610	0.003079
611	0.003257
612	0.003523
613	0.003237
614	0.003265
615	0.003869
616	0.003994
617	0.003851
618	0.003917
619	0.003999
620	0.004081
621	0.004086
622	0.004017
623	0.004200
624	0.004458
625	0.004858
626	0.005008
627	0.004801
628	0.004760
629	0.004793
630	0.005134
631	0.005375
632	0.005407
633	0.005645
634	0.006001
635	0.006437
636	0.006812
637	0.007004
638	0.007340
639	0.007780
640	0.008524
641	0.009211
642	0.009579
643	0.009995
644	0.010451
645	0.011143
646	0.011924
647	0.012918
648	0.013920
649	0.014929
650	0.015976
651	0.017104
652	0.018520
653	0.020093
654	0.021800
655	0.023540
656	0.025376
657	0.027517
658	0.029998
659	0.032741
660	0.035653
661	0.038617
662	0.041673
663	0.045185
664	0.048987
665	0.053393
666	0.057879
667	0.062480
668	0.067876
669	0.073695
670	0.080495
671	0.087569
672	0.095037
673	0.103345
674	0.111956
675	0.120815
676	0.130631
677	0.141377
678	0.153506
679	0.166200
680	0.179946
681	0.194981
682	0.210802
683	0.228080
684	0.246564
685	0.266886
686	0.289076
687	0.312320
688	0.338040
689	0.364888
690	0.392665
691	0.424211
692	0.457004
693	0.491736
694	0.528832
695	0.567196
696	0.607899
697	0.650302
698	0.694210
699	0.738842
700	0.784593
701	0.832299
702	0.880495
703	0.929019
704	0.978073
705	1.028190
706	1.079129
707	1.128790
708	1.179160
709	1.230511
710	1.281544
711	1.332598
712	1.383716
713	1.434654
714	1.485668
715	1.537546
716	1.589082
717	1.640348
718	1.689243
719	1.736830
720	1.782568
721	1.821411
722	1.856433
723	1.884994
724	1.905651
725	1.920876
726	1.924354
727	1.917881
728	1.904240
729	1.876188
730	1.838773
731	1.793147
732	1.732614
733	1.666071
734	1.592373
735	1.508484
736	1.421256
737	1.330236
738	1.237171
739	1.143848
740	1.050988
741	0.960565
742	0.872349
743	0.788751
744	0.711116
745	0.637382
746	0.570284
747	0.508925
748	0.451532
749	0.400986
750	0.355472
751	0.313350
752	0.276328
753	0.244097
754	0.215018
755	0.189863
756	0.167858
757	0.148163
758	0.132105
759	0.117524
760	0.104294
761	0.093992
762	0.084443
763	0.075540
764	0.067870
765	0.061578
766	0.056246
767	0.052277
768	0.047778
769	0.043538
770	0.040379
771	0.037464
772	0.034651
773	0.031933
774	0.030573
775	0.028935
776	0.026626
777	0.024777
778	0.023015
779	0.021383
780	0.021360
