Wavelength(nm)	PFD(umol m-2 s-1)
380	0.006186
381	0.006272
382	0.006487
383	0.006714
384	0.006697
385	0.006648
386	0.006393
387	0.006121
388	0.005800
389	0.005798
390	0.006353
391	0.006500
392	0.006210
393	0.006278
394	0.006582
395	0.006903
396	0.007232
397	0.007774
398	0.008360
399	0.009202
400	0.010147
401	0.012095
402	0.014039
403	0.015937
404	0.018343
405	0.021795
406	0.025772
407	0.030394
408	0.036442
409	0.043572
410	0.052623
411	0.062543
412	0.074753
413	0.087513
414	0.104094
415	0.121298
416	0.142829
417	0.165452
418	0.192190
419	0.220765
420	0.253013
421	0.287719
422	0.325362
423	0.366313
424	0.409693
425	0.456899
426	0.505780
427	0.557933
428	0.610887
429	0.669666
430	0.729288
431	0.792787
432	0.857073
433	0.923218
434	0.989469
435	1.055699
436	1.117555
437	1.175211
438	1.223068
439	1.265586
440	1.288903
441	1.306802
442	1.298827
443	1.286957
444	1.248379
445	1.205566
446	1.144898
447	1.079654
448	1.005164
449	0.928972
450	0.850857
451	0.775602
452	0.702119
453	0.636850
454	0.574221
455	0.522110
456	0.471476
457	0.431345
458	0.392310
459	0.359158
460	0.327668
461	0.299898
462	0.273884
463	0.249910
464	0.227853
465	0.206973
466	0.189350
467	0.172695
468	0.158752
469	0.145227
470	0.134767
471	0.124820
472	0.116865
473	0.109519
474	0.103245
475	0.097885
476	0.093360
477	0.090137
478	0.087523
479	0.085518
480	0.083624
481	0.082985
482	0.082638
483	0.083857
484	0.085449
485	0.087842
486	0.091013
487	0.095034
488	0.100102
489	0.105766
490	0.112905
491	0.120418
492	0.129524
493	0.138895
494	0.149439
495	0.160514
496	0.172721
497	0.185813
498	0.199860
499	0.214298
500	0.228971
501	0.245329
502	0.262094
503	0.279464
504	0.296915
505	0.314497
506	0.332522
507	0.351303
508	0.370226
509	0.389281
510	0.407559
511	0.425564
512	0.443309
513	0.461048
514	0.478470
515	0.495490
516	0.511264
517	0.526669
518	0.541606
519	0.556007
520	0.570123
521	0.583166
522	0.595998
523	0.607694
524	0.619190
525	0.629823
526	0.639720
527	0.648512
528	0.657130
529	0.665640
530	0.673477
531	0.681161
532	0.687577
533	0.693902
534	0.699809
535	0.705089
536	0.709414
537	0.713934
538	0.718587
539	0.722471
540	0.726164
541	0.728852
542	0.731406
543	0.733477
544	0.735655
545	0.737970
546	0.739504
547	0.740610
548	0.741185
549	0.741659
550	0.741994
551	0.742359
552	0.742803
553	0.743116
554	0.743302
555	0.742403
556	0.741104
557	0.741139
558	0.741108
559	0.740525
560	0.739683
561	0.738464
562	0.737453
563	0.736557
564	0.735636
565	0.734635
566	0.732988
567	0.731274
568	0.729437
569	0.727463
570	0.725383
571	0.723484
572	0.721582
573	0.718802
574	0.715900
575	0.712710
576	0.709665
577	0.706751
578	0.703184
579	0.699417
580	0.696042
581	0.692460
582	0.688333
583	0.684427
584	0.680728
585	0.676421
586	0.671920
587	0.667618
588	0.663248
589	0.658731
590	0.653622
591	0.647996
592	0.642092
593	0.636156
594	0.631116
595	0.625866
596	0.620194
597	0.614217
598	0.608018
599	0.601870
600	0.595710
601	0.589508
602	0.583151
603	0.576569
604	0.569710
605	0.562699
606	0.556291
607	0.549787
608	0.542885
609	0.535917
610	0.528883
611	0.521419
612	0.513870
613	0.506992
614	0.500021
615	0.492898
616	0.485955
617	0.479103
618	0.471996
619	0.464867
620	0.457779
621	0.450660
622	0.443509
623	0.436526
624	0.429569
625	0.422642
626	0.415803
627	0.409097
628	0.402300
629	0.395441
630	0.387946
631	0.380661
632	0.373838
633	0.367409
634	0.361197
635	0.354617
636	0.347885
637	0.340822
638	0.334130
639	0.327699
640	0.321326
641	0.315014
642	0.308932
643	0.303104
644	0.297480
645	0.291828
646	0.286234
647	0.280924
648	0.275194
649	0.269098
650	0.263384
651	0.257987
652	0.253645
653	0.248695
654	0.243227
655	0.238110
656	0.232988
657	0.227721
658	0.222872
659	0.218339
660	0.214570
661	0.210540
662	0.205601
663	0.201055
664	0.196750
665	0.191914
666	0.187354
667	0.183421
668	0.179873
669	0.176446
670	0.171849
671	0.167595
672	0.163848
673	0.160775
674	0.157845
675	0.154594
676	0.150904
677	0.146788
678	0.143225
679	0.139868
680	0.136911
681	0.133889
682	0.130829
683	0.128144
684	0.125331
685	0.122324
686	0.119472
687	0.116733
688	0.114366
689	0.111975
690	0.109562
691	0.106509
692	0.103798
693	0.101843
694	0.099575
695	0.097202
696	0.094909
697	0.092887
698	0.091100
699	0.089147
700	0.087137
701	0.085045
702	0.083525
703	0.082076
704	0.080031
705	0.077929
706	0.075782
707	0.074239
708	0.072873
709	0.071760
710	0.070019
711	0.068135
712	0.066209
713	0.064821
714	0.063671
715	0.062414
716	0.061123
717	0.059802
718	0.058439
719	0.057037
720	0.055582
721	0.054104
722	0.052827
723	0.052062
724	0.050632
725	0.049112
726	0.048302
727	0.047626
728	0.046963
729	0.045538
730	0.044568
731	0.043996
732	0.042600
733	0.041538
734	0.040896
735	0.039822
736	0.039077
737	0.038948
738	0.037989
739	0.036978
740	0.036191
741	0.035276
742	0.034381
743	0.033645
744	0.033140
745	0.032904
746	0.033334
747	0.032798
748	0.031895
749	0.031161
750	0.030491
751	0.030061
752	0.030645
753	0.030166
754	0.029334
755	0.029449
756	0.029086
757	0.028470
758	0.027816
759	0.026746
760	0.025760
761	0.026125
762	0.026313
763	0.026148
764	0.024909
765	0.024999
766	0.025404
767	0.025153
768	0.024344
769	0.023834
770	0.024519
771	0.022907
772	0.021567
773	0.021767
774	0.022083
775	0.022535
776	0.023155
777	0.021411
778	0.020971
779	0.021890
780	0.020217
