Wavelength(nm)	PFD(umol m-2 s-1)
380	0.000662
381	0.000663
382	0.000665
383	0.000666
384	0.000648
385	0.000632
386	0.000633
387	0.000632
388	0.000625
389	0.000622
390	0.000625
391	0.000623
392	0.000615
393	0.000608
394	0.000602
395	0.000617
396	0.000639
397	0.000648
398	0.000654
399	0.000673
400	0.000697
401	0.000765
402	0.000839
403	0.000937
404	0.001043
405	0.001167
406	0.001309
407	0.001476
408	0.001711
409	0.001998
410	0.002367
411	0.002773
412	0.003276
413	0.003801
414	0.004515
415	0.005255
416	0.006157
417	0.007107
418	0.008236
419	0.009443
420	0.010807
421	0.012277
422	0.013873
423	0.015604
424	0.017434
425	0.019448
426	0.021543
427	0.023799
428	0.026093
429	0.028639
430	0.031223
431	0.033987
432	0.036794
433	0.039705
434	0.042629
435	0.045565
436	0.048359
437	0.051019
438	0.053337
439	0.055469
440	0.056871
441	0.058069
442	0.058254
443	0.058287
444	0.057269
445	0.056039
446	0.053903
447	0.051533
448	0.048684
449	0.045650
450	0.042401
451	0.039128
452	0.035832
453	0.032752
454	0.029736
455	0.027134
456	0.024590
457	0.022500
458	0.020481
459	0.018834
460	0.017261
461	0.015855
462	0.014565
463	0.013411
464	0.012340
465	0.011320
466	0.010419
467	0.009552
468	0.008834
469	0.008137
470	0.007565
471	0.007025
472	0.006605
473	0.006223
474	0.005906
475	0.005625
476	0.005378
477	0.005194
478	0.005038
479	0.004931
480	0.004833
481	0.004800
482	0.004779
483	0.004828
484	0.004897
485	0.005007
486	0.005157
487	0.005349
488	0.005604
489	0.005894
490	0.006254
491	0.006632
492	0.007119
493	0.007619
494	0.008171
495	0.008757
496	0.009415
497	0.010114
498	0.010857
499	0.011625
500	0.012407
501	0.013259
502	0.014129
503	0.015054
504	0.015987
505	0.016949
506	0.017924
507	0.018920
508	0.019906
509	0.020885
510	0.021857
511	0.022827
512	0.023783
513	0.024734
514	0.025612
515	0.026485
516	0.027342
517	0.028172
518	0.028968
519	0.029720
520	0.030447
521	0.031127
522	0.031799
523	0.032396
524	0.032984
525	0.033534
526	0.034053
527	0.034525
528	0.034974
529	0.035408
530	0.035777
531	0.036130
532	0.036448
533	0.036764
534	0.037073
535	0.037339
536	0.037540
537	0.037757
538	0.037985
539	0.038148
540	0.038295
541	0.038460
542	0.038605
543	0.038679
544	0.038761
545	0.038850
546	0.038913
547	0.038962
548	0.038967
549	0.038965
550	0.038984
551	0.038997
552	0.038995
553	0.038974
554	0.038934
555	0.038898
556	0.038865
557	0.038831
558	0.038798
559	0.038776
560	0.038741
561	0.038689
562	0.038631
563	0.038569
564	0.038506
565	0.038437
566	0.038325
567	0.038212
568	0.038099
569	0.037995
570	0.037897
571	0.037786
572	0.037669
573	0.037530
574	0.037390
575	0.037249
576	0.037086
577	0.036905
578	0.036720
579	0.036534
580	0.036376
581	0.036201
582	0.035983
583	0.035786
584	0.035609
585	0.035391
586	0.035161
587	0.034944
588	0.034721
589	0.034481
590	0.034230
591	0.033970
592	0.033699
593	0.033421
594	0.033097
595	0.032778
596	0.032469
597	0.032166
598	0.031867
599	0.031560
600	0.031246
601	0.030889
602	0.030544
603	0.030220
604	0.029883
605	0.029538
606	0.029202
607	0.028863
608	0.028514
609	0.028156
610	0.027787
611	0.027424
612	0.027060
613	0.026684
614	0.026308
615	0.025932
616	0.025566
617	0.025205
618	0.024848
619	0.024485
620	0.024102
621	0.023726
622	0.023356
623	0.022999
624	0.022646
625	0.022306
626	0.021953
627	0.021583
628	0.021226
629	0.020872
630	0.020490
631	0.020121
632	0.019779
633	0.019432
634	0.019081
635	0.018767
636	0.018440
637	0.018073
638	0.017732
639	0.017408
640	0.017064
641	0.016731
642	0.016450
643	0.016146
644	0.015824
645	0.015528
646	0.015236
647	0.014944
648	0.014654
649	0.014363
650	0.014081
651	0.013805
652	0.013555
653	0.013294
654	0.013024
655	0.012775
656	0.012529
657	0.012283
658	0.012035
659	0.011786
660	0.011567
661	0.011343
662	0.011098
663	0.010884
664	0.010687
665	0.010450
666	0.010224
667	0.010023
668	0.009815
669	0.009603
670	0.009379
671	0.009179
672	0.009013
673	0.008818
674	0.008621
675	0.008473
676	0.008307
677	0.008123
678	0.007941
679	0.007763
680	0.007597
681	0.007435
682	0.007275
683	0.007136
684	0.007000
685	0.006871
686	0.006726
687	0.006584
688	0.006473
689	0.006340
690	0.006189
691	0.006075
692	0.005956
693	0.005821
694	0.005710
695	0.005603
696	0.005466
697	0.005350
698	0.005251
699	0.005162
700	0.005075
701	0.004993
702	0.004891
703	0.004788
704	0.004703
705	0.004596
706	0.004471
707	0.004386
708	0.004317
709	0.004271
710	0.004190
711	0.004103
712	0.004020
713	0.003964
714	0.003912
715	0.003791
716	0.003691
717	0.003608
718	0.003565
719	0.003520
720	0.003473
721	0.003416
722	0.003350
723	0.003264
724	0.003205
725	0.003157
726	0.003117
727	0.003056
728	0.002985
729	0.002940
730	0.002904
731	0.002876
732	0.002790
733	0.002738
734	0.002730
735	0.002666
736	0.002610
737	0.002576
738	0.002541
739	0.002506
740	0.002472
741	0.002438
742	0.002414
743	0.002418
744	0.002402
745	0.002379
746	0.002356
747	0.002334
748	0.002316
749	0.002315
750	0.002272
751	0.002221
752	0.002218
753	0.002215
754	0.002210
755	0.002196
756	0.002188
