Model Name	LI-180
Serial Number	A21M0027
Time	2025/06/25_11:20:43
PPFD	136.704208
PFD	140.331787
PFD-UV	0.145056
PFD-B	39.526096
PFD-G	66.841980
PFD-R	30.336195
PFD-FR	3.482455
RFR(600~780nm)	33.818657
CHLB(430~480nm)	29.558891
Custom3(380~780nm)	140.331787
Custom4(380~780nm)	140.331787
UV%	0.103366
B%	28.166178
G%	47.631393
R%	21.617481
FR%	2.481587
RFR%	24.099072
CHLB%	21.063576
Custom3%	100.000000
Custom4%	100.000000
R:B	0.767498
R:FR	8.711151
R:G	0.453849
B:G	0.591336
UV:B	0.003670
UV:FR	0.041653
B:G:R	0.000000
B:R:FR	0.000000
UV:B:G:R:FR	0.000000
RFR(PFD-R:PFD-FR)	8.711151
BRAT(CHLB:PFD-B)	0.747832
Ratio3	0.000000
Ratio4	0.000000
LambdaP	439.000000
LambdaPV	347.315704
LambdaD	487.000000
LUX	9772.546875
IRR	31.485954
fc	908.229248
I-Time	35.000000
380nm	2.078054
381nm	2.101264
382nm	2.065617
383nm	2.025326
384nm	2.121907
385nm	2.180974
386nm	1.991605
387nm	1.875455
388nm	1.980940
389nm	2.031414
390nm	1.986557
391nm	1.966447
392nm	1.972721
393nm	2.025316
394nm	2.108466
395nm	2.264014
396nm	2.447487
397nm	2.614786
398nm	2.779036
399nm	3.106943
400nm	3.467699
401nm	4.121687
402nm	4.791508
403nm	5.523221
404nm	6.429765
405nm	7.698240
406nm	9.112095
407nm	10.704812
408nm	12.909383
409nm	15.572419
410nm	18.678867
411nm	21.979288
412nm	26.328022
413nm	30.906389
414nm	36.718346
415nm	42.693832
416nm	49.868317
417nm	57.384838
418nm	66.282005
419nm	75.653633
420nm	86.005432
421nm	97.061180
422nm	108.961731
423nm	121.716209
424nm	135.079727
425nm	149.478104
426nm	164.291718
427nm	180.153152
428nm	196.207687
429nm	213.787796
430nm	231.446991
431nm	249.448395
432nm	267.268433
433nm	284.519928
434nm	300.873169
435nm	315.736755
436nm	328.020325
437nm	337.838196
438nm	343.673096
439nm	347.315704
440nm	345.363739
441nm	341.824524
442nm	332.349670
443nm	322.072449
444nm	307.161621
445nm	291.698456
446nm	273.832184
447nm	255.654907
448nm	236.831299
449nm	218.306305
450nm	200.126617
451nm	182.807724
452nm	166.053696
453nm	151.024139
454nm	136.585526
455nm	124.182228
456nm	112.101044
457nm	102.038857
458nm	92.311104
459nm	84.167084
460nm	76.481155
461nm	69.769875
462nm	63.539181
463nm	57.858734
464nm	52.835079
465nm	48.224514
466nm	44.285896
467nm	40.556400
468nm	37.388161
469nm	34.321697
470nm	31.961098
471nm	29.689735
472nm	27.742165
473nm	25.981398
474nm	24.539339
475nm	23.327528
476nm	22.324623
477nm	21.592350
478nm	20.987291
479nm	20.591621
480nm	20.236589
481nm	20.252863
482nm	20.317404
