Model Name	LI-180
Serial Number	A21M0027
Time	2025/06/30_17:24:02
PPFD	14.385903
PFD	14.557314
PFD-UV	0.030624
PFD-B	14.147469
PFD-G	0.124874
PFD-R	0.113562
PFD-FR	0.140782
RFR(600~780nm)	0.254343
CHLB(430~480nm)	13.284390
Custom3(380~780nm)	14.557314
Custom4(380~780nm)	14.557314
UV%	0.210369
B%	97.184631
G%	0.857809
R%	0.780101
FR%	0.967086
RFR%	1.747187
CHLB%	91.255775
Custom3%	100.000000
Custom4%	100.000000
R:B	0.008027
R:FR	0.806652
R:G	0.909412
B:G	113.294083
UV:B	0.002165
UV:FR	0.217528
B:G:R	0.000000
B:R:FR	0.000000
UV:B:G:R:FR	0.000000
RFR(PFD-R:PFD-FR)	0.806652
BRAT(CHLB:PFD-B)	0.938994
Ratio3	0.000000
Ratio4	0.000000
LambdaP	444.000000
LambdaPV	166.479828
LambdaD	450.000000
LUX	110.787468
IRR	3.871275
fc	10.296233
I-Time	70.000000
380nm	0.494878
381nm	0.433905
382nm	0.429847
383nm	0.432166
384nm	0.429891
385nm	0.439984
386nm	0.531979
387nm	0.589603
388nm	0.543190
389nm	0.489035
390nm	0.421463
391nm	0.389592
392nm	0.395788
393nm	0.432898
394nm	0.490402
395nm	0.512183
396nm	0.520186
397nm	0.478128
398nm	0.426629
399nm	0.485723
400nm	0.542358
401nm	0.522225
402nm	0.505679
403nm	0.503153
404nm	0.511880
405nm	0.543904
406nm	0.597257
407nm	0.676854
408nm	0.794063
409nm	0.939455
410nm	1.041529
411nm	1.124655
412nm	1.359379
413nm	1.627312
414nm	1.900608
415nm	2.190610
416nm	2.692751
417nm	3.239472
418nm	3.966146
419nm	4.798283
420nm	5.848290
421nm	7.038404
422nm	8.396656
423nm	10.112300
424nm	12.082829
425nm	14.564108
426nm	17.250322
427nm	20.746962
428nm	24.392950
429nm	29.379126
430nm	34.597523
431nm	41.453190
432nm	48.832375
433nm	57.852108
434nm	67.763344
435nm	79.153084
436nm	91.384621
437nm	104.420677
438nm	117.519028
439nm	130.651657
440nm	141.959305
441nm	152.749207
442nm	159.479919
443nm	165.557495
444nm	166.479828
445nm	166.393021
446nm	161.915649
447nm	156.109207
448nm	147.540253
449nm	137.884918
450nm	126.973534
451nm	115.909760
452nm	104.745979
453nm	94.624069
454nm	84.859215
455nm	76.816734
456nm	69.046089
457nm	62.959995
458nm	57.063465
459nm	52.064648
460nm	47.251678
461nm	42.834110
462nm	38.596817
463nm	34.565907
464nm	30.810392
465nm	27.228088
466nm	24.064846
467nm	21.032013
468nm	18.632586
469nm	16.330824
470nm	14.573100
471nm	12.898036
472nm	11.522889
473nm	10.266913
474nm	9.214255
475nm	8.285143
476nm	7.468127
477nm	6.714056
478nm	5.989577
479nm	5.375868
480nm	4.783658
481nm	4.298775
482nm	3.826992
483nm	3.423857
484nm	3.057619
485nm	2.770966
486nm	2.485898
487nm	2.202557
488nm	1.999831
489nm	1.841923
490nm	1.692444
491nm	1.544972
492nm	1.381993
493nm	1.230569
494nm	1.151687
495nm	1.079304
496nm	1.021342
497nm	0.952470
498nm	0.871829
499nm	0.800449
500nm	0.733993
501nm	0.699802
502nm	0.672397
503nm	0.636127
504nm	0.593613
505nm	0.522020
506nm	0.474628
507nm	0.471356
508nm	0.460080
509nm	0.441796
510nm	0.415939
511nm	0.387043
512nm	0.352488
513nm	0.323059
514nm	0.361342
515nm	0.380196
516nm	0.344774
517nm	0.328145
518nm	0.334486
519nm	0.329897
520nm	0.319105
521nm	0.311522
522nm	0.304682
523nm	0.301731
524nm	0.293934
525nm	0.268000
526nm	0.248026
527nm	0.236812
528nm	0.258093
529nm	0.300980
530nm	0.309169
531nm	0.308567
532nm	0.261057
533nm	0.224035
534nm	0.230327
535nm	0.233251
536nm	0.231106
537nm	0.230444
538nm	0.230757
539nm	0.234296
540nm	0.238929
541nm	0.264432
542nm	0.274927
543nm	0.233501
544nm	0.210361
545nm	0.211015
546nm	0.192398
547nm	0.163251
548nm	0.189039
549nm	0.220792
550nm	0.217148
551nm	0.221695
552nm	0.245902
553nm	0.254546
554nm	0.248434
555nm	0.240472
556nm	0.231840
557nm	0.235655
558nm	0.237635
559nm	0.228857
560nm	0.228061
561nm	0.238843
562nm	0.233157
563nm	0.218055
564nm	0.224252
565nm	0.231842
566nm	0.221897
567nm	0.210422
568nm	0.195857
569nm	0.205511
570nm	0.233686
571nm	0.245678
572nm	0.251944
573nm	0.218481
574nm	0.203218
575nm	0.233941
576nm	0.231700
577nm	0.199783
578nm	0.194564
