Model Name	LI-180
Serial Number	A21M0027
Time	2025/06/25_14:50:44
PPFD	143.206451
PFD	144.185577
PFD-UV	0.211583
PFD-B	141.623688
PFD-G	0.900612
PFD-R	0.682170
PFD-FR	0.767546
RFR(600~780nm)	1.449716
CHLB(430~480nm)	124.663284
Custom3(380~780nm)	144.185577
Custom4(380~780nm)	144.185577
UV%	0.146744
B%	98.223175
G%	0.624620
R%	0.473119
FR%	0.532332
RFR%	1.005451
CHLB%	86.460297
Custom3%	100.000000
Custom4%	100.000000
R:B	0.004817
R:FR	0.888768
R:G	0.757451
B:G	157.252655
UV:B	0.001494
UV:FR	0.275662
B:G:R	0.000000
B:R:FR	0.000000
UV:B:G:R:FR	0.000000
RFR(PFD-R:PFD-FR)	0.888768
BRAT(CHLB:PFD-B)	0.880243
Ratio3	0.000000
Ratio4	0.000000
LambdaP	441.000000
LambdaPV	1615.051880
LambdaD	447.000000
LUX	911.275024
IRR	38.796040
fc	84.690987
I-Time	7.000000
380nm	3.100780
381nm	3.833872
382nm	3.437666
383nm	2.921965
384nm	2.973364
385nm	2.997463
386nm	2.840775
387nm	2.882396
388nm	3.524305
389nm	3.668515
390nm	2.950240
391nm	2.633791
392nm	2.745774
393nm	2.948951
394nm	3.212286
395nm	3.162689
396nm	2.992391
397nm	3.248812
398nm	3.585705
399nm	4.266261
400nm	4.959033
401nm	5.634644
402nm	6.368766
403nm	7.331614
404nm	8.459772
405nm	9.930155
406nm	11.723985
407nm	13.915761
408nm	16.600691
409nm	19.655148
410nm	24.523733
411nm	30.185902
412nm	36.495152
413nm	42.946140
414nm	52.419476
415nm	62.351788
416nm	75.975990
417nm	90.374786
418nm	107.900261
419nm	127.538544
420nm	151.541580
421nm	178.118179
422nm	207.783279
423nm	243.819397
424nm	284.399231
425nm	332.572327
426nm	383.792114
427nm	447.860291
428nm	514.296204
429nm	598.132202
430nm	684.580994
431nm	788.984131
432nm	896.590393
433nm	1014.234497
434nm	1131.941528
435nm	1249.752686
436nm	1357.975586
437nm	1457.034912
438nm	1530.115845
439nm	1588.898071
440nm	1607.653076
441nm	1615.051880
442nm	1576.744507
443nm	1532.289185
444nm	1452.731323
445nm	1369.214233
446nm	1268.471558
447nm	1166.739136
448nm	1062.949341
449nm	964.135071
450nm	871.073303
451nm	788.147644
452nm	711.873352
453nm	647.720886
454nm	587.722290
455nm	536.870728
456nm	487.396149
457nm	444.718170
458nm	402.778534
459nm	364.335297
460nm	327.237579
461nm	293.002533
462nm	261.014038
463nm	231.597687
464nm	205.269836
465nm	180.884537
466nm	160.802292
467nm	142.059128
468nm	127.923721
469nm	114.373482
470nm	102.939590
471nm	92.060341
472nm	83.193413
473nm	74.899216
474nm	67.582153
475nm	60.561474
476nm	53.809719
477nm	48.196419
478nm	43.118279
479nm	38.851818
480nm	34.742889
481nm	31.131527
482nm	27.625755
483nm	24.681450
484nm	22.050613
485nm	20.095882
486nm	18.306379
487nm	16.696543
488nm	15.236274
489nm	13.859159
490nm	13.012992
491nm	12.293255
492nm	10.981133
493nm	9.774684
494nm	9.304510
495nm	8.674178
496nm	7.688482
497nm	7.046475
498nm	6.775194
499nm	6.139616
500nm	5.310360
501nm	5.242410
502nm	5.334174
503nm	4.618677
504nm	4.019722
505nm	3.963563
506nm	3.893048
507nm	3.796363
508nm	3.642087
509nm	3.437385
510nm	3.425582
511nm	3.491224
512nm	3.238716
513nm	2.975497
514nm	3.021454
515nm	3.039526
516nm	2.979707
517nm	2.842299
518nm	2.610064
519nm	2.444035
520nm	2.315590
521nm	2.342097
522nm	2.395155
523nm	2.136822
524nm	1.931739
525nm	1.925997
526nm	1.911611
527nm	1.884518
528nm	1.746661
529nm	1.535162
530nm	1.457156
531nm	1.412974
532nm	2.069958
533nm	2.566820
534nm	2.402578
535nm	2.245830
536nm	2.100357
537nm	1.856654
538nm	1.548285
539nm	1.708427
540nm	1.970602
541nm	1.661204
542nm	1.492237
543nm	1.809087
544nm	1.825902
545nm	1.452335
546nm	1.638195
547nm	2.129720
548nm	2.149104
549nm	2.082045
550nm	1.894791
551nm	1.839929
552nm	2.102793
553nm	2.009925
554nm	1.579768
555nm	1.401964
556nm	1.315436
557nm	1.353472
558nm	1.475996
559nm	1.953790
560nm	2.165243
561nm	1.990371
562nm	1.775011
563nm	1.536503
564nm	1.375840
565nm	1.263996
566nm	1.491557
567nm	1.624283
568nm	1.565539
569nm	1.480790
570nm	1.376151
571nm	1.434469
572nm	1.534566
573nm	1.679298
574nm	1.797668
575nm	1.849435
576nm	1.754135
577nm	1.526438
578nm	1.422285
579nm	1.355260
580nm	1.311500
581nm	1.229881
582nm	1.043525
583nm	0.893633
584nm	0.777960
585nm	0.716793
586nm	0.676351
587nm	0.825244
588nm	0.920438
589nm	0.876095
590nm	0.751236
591nm	0.556629
592nm	0.894145
593nm	1.341044
594nm	1.340240
595nm	1.411444
596nm	1.634809
597nm	1.638857
598nm	1.488506
599nm	1.530677
600nm	1.574787
601nm	1.401520
602nm	1.357047
603nm	1.509074
604nm	1.528334
605nm	1.482052
606nm	1.219243
607nm	1.005852
608nm	1.008546
609nm	1.062265
610nm	1.166477
611nm	1.291490
612nm	1.418728
613nm	1.498228
614nm	1.513318
615nm	1.410838
616nm	1.474027
617nm	1.629662
618nm	1.592086
619nm	1.546158
620nm	1.520171
621nm	1.467372
622nm	1.389638
623nm	1.589142
624nm	1.793012
625nm	1.534492
626nm	1.373817
627nm	1.352088
628nm	1.444969
629nm	1.578414
630nm	1.476770
631nm	1.401602
632nm	1.380825
633nm	1.133488
634nm	0.756716
635nm	1.236835
636nm	1.580267
637nm	1.418119
638nm	1.449113
639nm	1.618320
640nm	1.233945
641nm	0.883996
642nm	0.857629
643nm	0.970280
644nm	1.196903
645nm	0.855692
646nm	0.543959
647nm	0.659077
648nm	0.912761
649nm	1.286509
650nm	1.039528
651nm	0.858254
652nm	1.297102
653nm	1.199337
654nm	0.648221
655nm	0.559211
656nm	0.571893
657nm	0.722613
658nm	0.959893
659nm	1.262845
660nm	1.017539
661nm	0.784600
662nm	0.727082
663nm	1.029611
664nm	1.556964
665nm	1.248360
666nm	1.125400
667nm	1.442957
668nm	1.353613
669nm	1.078242
670nm	0.859202
671nm	0.782106
672nm	0.912205
673nm	1.266802
674nm	1.611752
675nm	1.486341
676nm	1.144980
677nm	0.595283
678nm	1.109056
679nm	1.447531
680nm	0.858743
681nm	1.064148
682nm	1.721849
683nm	1.661270
684nm	1.401256
685nm	0.834003
686nm	1.529611
687nm	2.273561
688nm	1.426724
689nm	0.916871
690nm	0.679366
691nm	1.291648
692nm	1.732204
693nm	1.738575
694nm	1.563241
695nm	1.354630
696nm	1.358375
697nm	1.457646
698nm	1.640318
699nm	1.790056
700nm	1.702838
701nm	1.166361
702nm	1.389360
703nm	1.650549
704nm	0.816469
705nm	0.696098
706nm	1.100988
707nm	1.254166
708nm	1.421232
709nm	1.611251
710nm	1.709656
711nm	1.741630
712nm	1.633504
713nm	1.550144
714nm	1.494871
715nm	1.574324
716nm	1.529805
717nm	1.379595
718nm	1.637992
719nm	1.734161
720nm	1.580211
721nm	1.035203
722nm	0.719929
723nm	1.140866
724nm	1.309023
725nm	1.343818
726nm	1.189699
727nm	1.301975
728nm	1.547227
729nm	1.510509
730nm	1.204293
731nm	0.663066
732nm	1.123320
733nm	1.435543
734nm	1.556097
735nm	1.930711
736nm	1.807516
737nm	0.822166
738nm	1.041156
739nm	1.496437
740nm	1.983553
741nm	1.679014
742nm	1.373214
743nm	1.664971
744nm	1.594330
745nm	1.451323
746nm	1.500516
747nm	1.580810
748nm	1.609659
749nm	1.365024
750nm	1.351119
751nm	1.468736
752nm	1.696561
753nm	1.751140
754nm	1.718470
755nm	1.685116
756nm	1.650510
757nm	1.644876
758nm	1.789312
759nm	1.658019
760nm	1.348799
