Wavelength(nm)	PFD(umol m-2 s-1)
380	0.001026
381	0.001028
382	0.000991
383	0.000949
384	0.000942
385	0.000940
386	0.000972
387	0.000981
388	0.000922
389	0.000903
390	0.000954
391	0.000947
392	0.000876
393	0.000903
394	0.000993
395	0.000996
396	0.000965
397	0.000971
398	0.000985
399	0.001030
400	0.001085
401	0.001216
402	0.001334
403	0.001397
404	0.001503
405	0.001698
406	0.001940
407	0.002239
408	0.002623
409	0.003070
410	0.003672
411	0.004343
412	0.005279
413	0.006278
414	0.007627
415	0.009035
416	0.010878
417	0.012864
418	0.015401
419	0.018205
420	0.021547
421	0.025381
422	0.029805
423	0.035023
424	0.040819
425	0.047869
426	0.055445
427	0.064848
428	0.074625
429	0.087000
430	0.099798
431	0.115140
432	0.131064
433	0.148668
434	0.166540
435	0.184804
436	0.201950
437	0.218022
438	0.230571
439	0.241193
440	0.246060
441	0.249298
442	0.245518
443	0.240746
444	0.230073
445	0.218655
446	0.204153
447	0.189243
448	0.173551
449	0.158380
450	0.143826
451	0.130666
452	0.118405
453	0.108047
454	0.098315
455	0.090188
456	0.082269
457	0.075407
458	0.068646
459	0.062477
460	0.056466
461	0.050826
462	0.045515
463	0.040588
464	0.036165
465	0.032055
466	0.028685
467	0.025538
468	0.022994
469	0.020537
470	0.018646
471	0.016824
472	0.015276
473	0.013824
474	0.012542
475	0.011342
476	0.010217
477	0.009229
478	0.008303
479	0.007528
480	0.006779
481	0.006157
482	0.005551
483	0.005043
484	0.004582
485	0.004224
486	0.003860
487	0.003491
488	0.003221
489	0.003007
490	0.002786
491	0.002562
492	0.002445
493	0.002323
494	0.002153
495	0.002003
496	0.001896
497	0.001791
498	0.001687
499	0.001611
500	0.001550
501	0.001470
502	0.001385
503	0.001370
504	0.001350
505	0.001314
506	0.001273
507	0.001223
508	0.001196
509	0.001190
510	0.001151
511	0.001098
512	0.001068
513	0.001040
514	0.001019
515	0.000991
516	0.000945
517	0.000950
518	0.001019
519	0.001016
520	0.000971
521	0.000969
522	0.000975
523	0.000950
524	0.000927
525	0.000915
526	0.000903
527	0.000891
528	0.000869
529	0.000840
530	0.000874
531	0.000924
532	0.000914
533	0.000898
534	0.000853
535	0.000846
536	0.000894
537	0.000878
538	0.000819
539	0.000812
540	0.000818
541	0.000817
542	0.000813
543	0.000798
544	0.000824
545	0.000907
546	0.000902
547	0.000850
548	0.000915
549	0.000987
550	0.000907
551	0.000858
552	0.000885
553	0.000899
554	0.000902
555	0.000890
556	0.000872
557	0.000854
558	0.000846
559	0.000878
560	0.000892
561	0.000877
562	0.000863
563	0.000849
564	0.000869
565	0.000886
566	0.000834
567	0.000821
568	0.000884
569	0.000913
570	0.000916
571	0.000914
572	0.000910
573	0.000860
574	0.000838
575	0.000890
576	0.000891
577	0.000848
578	0.000850
579	0.000865
580	0.000829
581	0.000807
582	0.000824
583	0.000846
584	0.000873
585	0.000873
586	0.000866
587	0.000909
588	0.000932
589	0.000906
590	0.000876
591	0.000843
592	0.000858
593	0.000885
594	0.000900
595	0.000906
596	0.000893
597	0.000888
598	0.000889
599	0.000849
600	0.000812
601	0.000849
602	0.000846
603	0.000785
604	0.000773
605	0.000787
606	0.000842
607	0.000880
608	0.000843
609	0.000842
610	0.000875
611	0.000897
612	0.000915
613	0.000939
614	0.000945
615	0.000922
616	0.000918
617	0.000924
618	0.000883
619	0.000857
620	0.000900
621	0.000914
622	0.000900
623	0.000947
624	0.000994
625	0.000939
626	0.000918
627	0.000944
628	0.000881
629	0.000787
630	0.000907
631	0.001018
632	0.001113
633	0.001048
634	0.000892
635	0.000969
636	0.001041
637	0.001062
638	0.001066
639	0.001058
640	0.000919
641	0.000835
642	0.000990
643	0.001029
644	0.000974
645	0.001001
646	0.001003
647	0.000857
648	0.000859
649	0.000989
650	0.000974
651	0.000959
652	0.001025
653	0.001058
654	0.001064
655	0.000970
656	0.000910
657	0.001016
658	0.001048
659	0.001021
660	0.001073
661	0.001122
662	0.001142
663	0.001145
664	0.001139
665	0.001087
666	0.001028
667	0.000959
668	0.000932
669	0.000929
670	0.001058
671	0.001109
672	0.001044
673	0.001087
674	0.001145
675	0.001100
676	0.001120
677	0.001203
678	0.001218
679	0.001216
680	0.001193
681	0.001132
682	0.001052
683	0.001168
684	0.001242
685	0.001248
686	0.001225
687	0.001194
688	0.001162
689	0.001160
690	0.001182
691	0.001196
692	0.001225
693	0.001287
694	0.001290
695	0.001279
696	0.001317
697	0.001303
698	0.001244
699	0.001215
700	0.001187
701	0.001158
702	0.001204
703	0.001264
