Wavelength(nm)	PFD(umol m-2 s-1)
380	0.001055
381	0.001054
382	0.001080
383	0.001110
384	0.001101
385	0.001089
386	0.001046
387	0.001017
388	0.001026
389	0.000999
390	0.000906
391	0.000855
392	0.000849
393	0.000915
394	0.001029
395	0.001088
396	0.001126
397	0.001021
398	0.000888
399	0.001091
400	0.001291
401	0.001292
402	0.001324
403	0.001477
404	0.001658
405	0.001898
406	0.002162
407	0.002454
408	0.002896
409	0.003451
410	0.004253
411	0.005167
412	0.006216
413	0.007300
414	0.008836
415	0.010457
416	0.012755
417	0.015189
418	0.018138
419	0.021442
420	0.025468
421	0.030069
422	0.035361
423	0.041649
424	0.048662
425	0.057081
426	0.066091
427	0.077361
428	0.089092
429	0.104042
430	0.119519
431	0.138204
432	0.157657
433	0.179346
434	0.201475
435	0.224270
436	0.245751
437	0.265970
438	0.282180
439	0.296200
440	0.303182
441	0.308173
442	0.304323
443	0.299231
444	0.286780
445	0.273305
446	0.255556
447	0.237256
448	0.217894
449	0.198998
450	0.180658
451	0.164129
452	0.148770
453	0.135737
454	0.123467
455	0.113299
456	0.103404
457	0.094897
458	0.086480
459	0.078630
460	0.071018
461	0.063952
462	0.057330
463	0.051224
464	0.045656
465	0.040418
466	0.036145
467	0.032161
468	0.029006
469	0.025957
470	0.023462
471	0.021070
472	0.019077
473	0.017257
474	0.015741
475	0.014288
476	0.012891
477	0.011561
478	0.010259
479	0.009214
480	0.008215
481	0.007452
482	0.006719
483	0.006159
484	0.005654
485	0.005268
486	0.004819
487	0.004302
488	0.003944
489	0.003674
490	0.003398
491	0.003121
492	0.002976
493	0.002825
494	0.002619
495	0.002415
496	0.002217
497	0.002083
498	0.002020
499	0.001905
500	0.001763
501	0.001647
502	0.001537
503	0.001513
504	0.001486
505	0.001449
506	0.001427
507	0.001433
508	0.001394
509	0.001317
510	0.001298
511	0.001301
512	0.001270
513	0.001236
514	0.001209
515	0.001173
516	0.001111
517	0.001084
518	0.001099
519	0.001072
520	0.001020
521	0.001018
522	0.001026
523	0.000995
524	0.000981
525	0.001038
526	0.001035
527	0.000945
528	0.000930
529	0.000965
530	0.000968
531	0.000964
532	0.000952
533	0.000945
534	0.000961
535	0.000965
536	0.000953
537	0.000948
538	0.000946
539	0.000951
540	0.000957
541	0.000874
542	0.000822
543	0.000880
544	0.000891
545	0.000840
546	0.000833
547	0.000851
548	0.000873
549	0.000899
550	0.000956
551	0.000982
552	0.000933
553	0.000910
554	0.000913
555	0.000901
556	0.000884
557	0.000861
558	0.000850
559	0.000890
560	0.000907
561	0.000888
562	0.000870
563	0.000853
564	0.000876
565	0.000896
566	0.000831
567	0.000813
568	0.000890
569	0.000925
570	0.000926
571	0.000919
572	0.000911
573	0.000938
574	0.000951
575	0.000928
576	0.000889
577	0.000833
578	0.000835
579	0.000855
580	0.000892
581	0.000924
582	0.000945
583	0.000975
584	0.001014
585	0.000945
586	0.000845
587	0.000804
588	0.000790
589	0.000848
590	0.000852
591	0.000810
592	0.000833
593	0.000870
594	0.000883
595	0.000884
596	0.000862
597	0.000853
598	0.000854
599	0.000891
600	0.000923
601	0.000871
602	0.000889
603	0.001013
604	0.000988
605	0.000887
606	0.000774
607	0.000719
608	0.000872
609	0.000969
610	0.001010
611	0.000957
612	0.000885
613	0.000914
614	0.000919
615	0.000883
616	0.000879
617	0.000893
618	0.000835
619	0.000799
620	0.000859
621	0.000879
622	0.000861
623	0.000833
624	0.000810
625	0.000846
626	0.000880
627	0.000911
628	0.000909
629	0.000892
630	0.000815
631	0.000801
632	0.000916
633	0.000979
634	0.001013
635	0.001013
636	0.001018
637	0.001043
638	0.001048
639	0.001037
640	0.000961
641	0.000915
642	0.000998
643	0.000993
644	0.000916
645	0.000955
646	0.001008
647	0.001057
648	0.001042
649	0.000971
650	0.000921
651	0.000900
652	0.000981
653	0.001021
654	0.001026
655	0.001017
656	0.000983
657	0.000862
658	0.000862
659	0.000954
660	0.001027
661	0.001083
662	0.001098
663	0.001103
664	0.001101
665	0.001027
666	0.000993
667	0.001049
668	0.001053
669	0.001042
670	0.001211
671	0.001281
672	0.001209
673	0.001135
674	0.001066
675	0.001026
