Wavelength(nm)	PFD(umol m-2 s-1)
380	0.000289
381	0.000287
382	0.000295
383	0.000303
384	0.000295
385	0.000289
386	0.000299
387	0.000305
388	0.000297
389	0.000291
390	0.000286
391	0.000282
392	0.000279
393	0.000277
394	0.000274
395	0.000276
396	0.000280
397	0.000280
398	0.000280
399	0.000277
400	0.000275
401	0.000294
402	0.000312
403	0.000327
404	0.000341
405	0.000352
406	0.000367
407	0.000386
408	0.000419
409	0.000463
410	0.000523
411	0.000589
412	0.000683
413	0.000783
414	0.000913
415	0.001050
416	0.001256
417	0.001471
418	0.001724
419	0.002021
420	0.002406
421	0.002857
422	0.003388
423	0.004031
424	0.004755
425	0.005640
426	0.006593
427	0.007854
428	0.009176
429	0.010958
430	0.012828
431	0.015283
432	0.017920
433	0.021109
434	0.024551
435	0.028405
436	0.032360
437	0.036411
438	0.040109
439	0.043619
440	0.046110
441	0.048318
442	0.048948
443	0.049352
444	0.048242
445	0.046872
446	0.044390
447	0.041683
448	0.038521
449	0.035305
450	0.032028
451	0.029015
452	0.026173
453	0.023804
454	0.021591
455	0.019817
456	0.018103
457	0.016684
458	0.015286
459	0.014004
460	0.012731
461	0.011483
462	0.010303
463	0.009203
464	0.008192
465	0.007236
466	0.006446
467	0.005706
468	0.005129
469	0.004574
470	0.004148
471	0.003741
472	0.003408
473	0.003092
474	0.002804
475	0.002549
476	0.002325
477	0.002115
478	0.001913
479	0.001730
480	0.001550
481	0.001417
482	0.001286
483	0.001172
484	0.001066
485	0.000978
486	0.000896
487	0.000821
488	0.000767
489	0.000723
490	0.000684
491	0.000647
492	0.000612
493	0.000578
494	0.000545
495	0.000515
496	0.000490
497	0.000469
498	0.000452
499	0.000439
500	0.000427
501	0.000408
502	0.000389
503	0.000391
504	0.000391
505	0.000381
506	0.000374
507	0.000375
508	0.000371
509	0.000361
510	0.000344
511	0.000324
512	0.000325
513	0.000328
514	0.000333
515	0.000336
516	0.000331
517	0.000325
518	0.000320
519	0.000318
520	0.000317
521	0.000323
522	0.000329
523	0.000320
524	0.000311
525	0.000302
526	0.000300
527	0.000305
528	0.000300
529	0.000289
530	0.000282
531	0.000276
532	0.000292
533	0.000302
534	0.000287
535	0.000276
536	0.000273
537	0.000284
538	0.000305
539	0.000297
540	0.000283
541	0.000287
542	0.000291
543	0.000292
544	0.000292
545	0.000289
546	0.000293
547	0.000301
548	0.000294
549	0.000286
550	0.000285
551	0.000289
552	0.000300
553	0.000299
554	0.000288
555	0.000296
556	0.000312
557	0.000300
558	0.000289
559	0.000283
560	0.000283
561	0.000292
562	0.000293
563	0.000290
564	0.000292
565	0.000294
566	0.000283
567	0.000280
568	0.000293
569	0.000301
570	0.000305
571	0.000297
572	0.000286
573	0.000292
574	0.000293
575	0.000284
576	0.000284
577	0.000293
578	0.000294
579	0.000292
580	0.000296
581	0.000298
582	0.000292
583	0.000286
584	0.000280
585	0.000285
586	0.000294
587	0.000316
588	0.000325
589	0.000300
590	0.000289
591	0.000290
592	0.000305
593	0.000323
594	0.000308
595	0.000299
596	0.000304
597	0.000297
598	0.000282
599	0.000281
600	0.000281
601	0.000283
602	0.000285
603	0.000288
604	0.000290
605	0.000291
606	0.000297
607	0.000304
608	0.000313
609	0.000314
610	0.000307
611	0.000302
612	0.000299
613	0.000303
614	0.000314
615	0.000339
616	0.000343
617	0.000337
618	0.000324
619	0.000318
620	0.000335
621	0.000338
622	0.000327
623	0.000328
624	0.000332
625	0.000333
626	0.000340
627	0.000356
628	0.000368
629	0.000378
630	0.000370
631	0.000364
632	0.000362
633	0.000368
634	0.000378
635	0.000372
636	0.000367
637	0.000365
638	0.000367
639	0.000372
640	0.000351
641	0.000337
642	0.000360
643	0.000363
644	0.000349
645	0.000361
646	0.000371
647	0.000358
648	0.000352
649	0.000352
650	0.000337
651	0.000323
652	0.000325
653	0.000332
654	0.000344
655	0.000353
656	0.000362
657	0.000366
658	0.000366
659	0.000361
660	0.000344
661	0.000338
662	0.000365
663	0.000372
664	0.000368
665	0.000366
666	0.000363
667	0.000357
668	0.000364
669	0.000377
670	0.000391
671	0.000391
672	0.000371
673	0.000392
674	0.000419
675	0.000399
676	0.000402
677	0.000426
678	0.000400
679	0.000385
680	0.000420
681	0.000408
682	0.000368
683	0.000384
684	0.000402
685	0.000422
686	0.000412
687	0.000398
688	0.000404
689	0.000424
690	0.000454
691	0.000446
692	0.000436
693	0.000425
694	0.000416
695	0.000411
696	0.000439
697	0.000452
698	0.000452
699	0.000429
700	0.000419
701	0.000433
702	0.000428
703	0.000421
704	0.000436
705	0.000443
706	0.000445
707	0.000447
708	0.000445
709	0.000435
710	0.000434
711	0.000435
712	0.000432
713	0.000453
714	0.000480
715	0.000459
716	0.000455
717	0.000465
718	0.000467
719	0.000464
720	0.000455
721	0.000454
722	0.000453
723	0.000450
724	0.000449
725	0.000453
726	0.000471
727	0.000477
728	0.000473
729	0.000457
730	0.000444
731	0.000432
732	0.000482
733	0.000487
734	0.000438
735	0.000450
736	0.000472
737	0.000505
738	0.000487
739	0.000469
740	0.000470
741	0.000493
742	0.000502
743	0.000452
744	0.000485
745	0.000534
746	0.000535
747	0.000543
748	0.000548
749	0.000532
750	0.000552
751	0.000578
752	0.000547
753	0.000539
754	0.000542
755	0.000540
756	0.000536
757	0.000532
758	0.000535
759	0.000561
760	0.000590
761	0.000576
762	0.000561
763	0.000556
764	0.000593
765	0.000580
766	0.000556
767	0.000559
768	0.000575
769	0.000586
770	0.000573
771	0.000579
772	0.000587
773	0.000592
774	0.000626
775	0.000636
776	0.000603
777	0.000644
778	0.000659
779	0.000645
780	0.000652
