Wavelength(nm)	PFD(umol m-2 s-1)
380	0.001688
381	0.001838
382	0.001808
383	0.001760
384	0.001868
385	0.001953
386	0.001877
387	0.001818
388	0.001815
389	0.001766
390	0.001635
391	0.001543
392	0.001494
393	0.001570
394	0.001731
395	0.001842
396	0.001935
397	0.001875
398	0.001787
399	0.001898
400	0.002040
401	0.002439
402	0.002732
403	0.002608
404	0.002707
405	0.003268
406	0.003941
407	0.004752
408	0.005484
409	0.006159
410	0.007542
411	0.009242
412	0.010983
413	0.012739
414	0.015562
415	0.018563
416	0.022922
417	0.027513
418	0.032977
419	0.039291
420	0.047343
421	0.056497
422	0.066977
423	0.079436
424	0.093332
425	0.110869
426	0.129925
427	0.154139
428	0.179402
429	0.213825
430	0.249845
431	0.296042
432	0.345609
433	0.405316
434	0.469265
435	0.540101
436	0.613114
437	0.688233
438	0.757251
439	0.823025
440	0.869944
441	0.911622
442	0.925368
443	0.934945
444	0.914634
445	0.889568
446	0.844082
447	0.793885
448	0.734085
449	0.673087
450	0.610739
451	0.552740
452	0.497526
453	0.451110
454	0.407592
455	0.372951
456	0.339518
457	0.312553
458	0.285940
459	0.261458
460	0.237477
461	0.214690
462	0.192541
463	0.171143
464	0.151946
465	0.134111
466	0.118850
467	0.104350
468	0.093010
469	0.082144
470	0.074369
471	0.066866
472	0.060443
473	0.054456
474	0.049237
475	0.044349
476	0.039762
477	0.035543
478	0.031488
479	0.028223
480	0.025102
481	0.022829
482	0.020504
483	0.017921
484	0.015740
485	0.014442
486	0.013217
487	0.012071
488	0.010990
489	0.009943
490	0.009015
491	0.008113
492	0.007731
493	0.007283
494	0.006357
495	0.005606
496	0.005249
497	0.004945
498	0.004697
499	0.004272
500	0.003751
501	0.003513
502	0.003334
503	0.003125
504	0.002902
505	0.002612
506	0.002442
507	0.002491
508	0.002433
509	0.002282
510	0.002205
511	0.002158
512	0.002016
513	0.001870
514	0.001822
515	0.001706
516	0.001400
517	0.001403
518	0.001787
519	0.001719
520	0.001393
521	0.001156
522	0.000945
523	0.001162
524	0.001334
525	0.001333
526	0.001282
527	0.001157
528	0.001180
529	0.001303
530	0.001403
531	0.001499
532	0.001501
533	0.001441
534	0.001128
535	0.001023
536	0.001231
537	0.001292
538	0.001254
539	0.001284
540	0.001328
541	0.001347
542	0.001338
543	0.001229
544	0.001220
545	0.001340
546	0.001350
547	0.001298
548	0.001096
549	0.000900
550	0.001080
551	0.001192
552	0.001138
553	0.001082
554	0.001026
555	0.001024
556	0.001041
557	0.001130
558	0.001228
559	0.001351
560	0.001326
561	0.001084
562	0.000969
563	0.000925
564	0.001124
565	0.001344
566	0.001416
567	0.001409
568	0.001245
569	0.001215
570	0.001288
571	0.001413
572	0.001536
573	0.001282
574	0.001153
575	0.001341
576	0.001302
577	0.001057
578	0.001211
579	0.001481
580	0.001470
581	0.001395
582	0.001144
583	0.001087
584	0.001215
585	0.001210
586	0.001165
587	0.001101
588	0.000997
589	0.000788
590	0.000965
591	0.001480
592	0.001065
593	0.000464
594	0.000759
595	0.000865
596	0.000571
597	0.000449
598	0.000450
599	0.000768
600	0.001094
601	0.001078
602	0.001070
603	0.001073
604	0.000835
605	0.000479
606	0.000877
607	0.001141
608	0.000779
609	0.000678
610	0.000836
611	0.000934
612	0.001019
613	0.001160
614	0.001147
615	0.000853
616	0.000595
617	0.000357
618	0.000695
619	0.000973
620	0.000894
621	0.000701
622	0.000400
623	0.000740
624	0.001160
625	0.001042
