Wavelength(nm)	PFD(umol m-2 s-1)
380	0.001994
381	0.002127
382	0.002124
383	0.002102
384	0.001880
385	0.001679
386	0.001615
387	0.001641
388	0.001939
389	0.001983
390	0.001580
391	0.001586
392	0.002031
393	0.002157
394	0.002071
395	0.001901
396	0.001698
397	0.001866
398	0.002107
399	0.001981
400	0.001884
401	0.002277
402	0.002623
403	0.002781
404	0.003097
405	0.003742
406	0.004261
407	0.004623
408	0.005354
409	0.006364
410	0.007618
411	0.008982
412	0.011089
413	0.013369
414	0.016525
415	0.019811
416	0.023947
417	0.028406
418	0.034111
419	0.040665
420	0.048955
421	0.058506
422	0.069570
423	0.082564
424	0.096962
425	0.115300
426	0.135281
427	0.161196
428	0.188311
429	0.225197
430	0.263948
431	0.314885
432	0.369923
433	0.437362
434	0.510545
435	0.593097
436	0.678723
437	0.767323
438	0.848938
439	0.926844
440	0.982481
441	1.031931
442	1.046412
443	1.055770
444	1.029734
445	0.998212
446	0.943177
447	0.882807
448	0.811578
449	0.739876
450	0.667678
451	0.601562
452	0.539363
453	0.488655
454	0.441761
455	0.404784
456	0.369149
457	0.340270
458	0.311711
459	0.285161
460	0.258812
461	0.233029
462	0.208300
463	0.184803
464	0.163294
465	0.143010
466	0.126210
467	0.110451
468	0.098678
469	0.087435
470	0.078973
471	0.070924
472	0.064476
473	0.058336
474	0.052746
475	0.047520
476	0.042626
477	0.038132
478	0.033817
479	0.030436
480	0.027225
481	0.024228
482	0.021314
483	0.018908
484	0.016797
485	0.015334
486	0.013856
487	0.012360
488	0.011225
489	0.010290
490	0.009299
491	0.008292
492	0.007646
493	0.007019
494	0.006467
495	0.005953
496	0.005525
497	0.005067
498	0.004575
499	0.004164
500	0.003795
501	0.003754
502	0.003783
503	0.003536
504	0.003276
505	0.002967
506	0.002703
507	0.002522
508	0.002347
509	0.002177
510	0.001910
511	0.001603
512	0.001843
513	0.002121
514	0.002082
515	0.001972
516	0.001660
517	0.001557
518	0.001713
519	0.001712
520	0.001622
521	0.001594
522	0.001583
523	0.001811
524	0.001939
525	0.001693
526	0.001490
527	0.001350
528	0.001230
529	0.001122
530	0.001173
531	0.001265
532	0.001267
533	0.001299
534	0.001456
535	0.001545
536	0.001532
537	0.001361
538	0.001086
539	0.001262
540	0.001543
541	0.001564
542	0.001500
543	0.001141
544	0.001099
545	0.001473
546	0.001422
547	0.001138
548	0.001299
549	0.001514
550	0.001488
551	0.001442
552	0.001348
553	0.001416
554	0.001638
555	0.001540
556	0.001324
557	0.001366
558	0.001382
559	0.001232
560	0.001143
561	0.001145
562	0.001310
563	0.001569
564	0.001342
565	0.001075
566	0.001134
567	0.001212
568	0.001326
569	0.001270
570	0.001082
571	0.001168
572	0.001314
573	0.001303
574	0.001266
575	0.001161
576	0.001143
577	0.001204
578	0.001222
579	0.001226
580	0.001174
581	0.001152
582	0.001214
583	0.001298
584	0.001402
585	0.001418
586	0.001406
587	0.001315
588	0.001274
589	0.001364
590	0.001377
591	0.001323
592	0.000990
593	0.000625
594	0.000935
595	0.001146
596	0.001148
597	0.001161
598	0.001183
599	0.001259
600	0.001329
601	0.001291
602	0.001270
603	0.001273
604	0.001036
605	0.000680
606	0.001088
607	0.001351
608	0.000946
609	0.000855
610	0.001075
611	0.000886
612	0.000612
613	0.000746
614	0.000865
615	0.000956
616	0.000818
617	0.000552
618	0.000889
619	0.001165
620	0.001077
621	0.001059
622	0.001106
623	0.000675
624	0.000250
625	0.000753
626	0.001109
627	0.001253
628	0.001082
629	0.000791
630	0.000772
631	0.000853
632	0.001144
633	0.001025
634	0.000670
635	0.001094
636	0.001498
637	0.001725
638	0.001420
639	0.000732
640	0.000757
641	0.000899
642	0.001178
643	0.001264
644	0.001193
645	0.001344
646	0.001365
647	0.000755
648	0.000763
649	0.001309
650	0.001342
651	0.001319
652	0.001378
653	0.001164
654	0.000717
655	0.001048
656	0.001381
657	0.001361
658	0.001169
659	0.000846
660	0.001155
661	0.001399
662	0.001295
663	0.001365
664	0.001544
665	0.001391
666	0.001358
667	0.001598
668	0.001460
669	0.001156
670	0.001103
671	0.001218
672	0.001583
673	0.001951
674	0.002195
675	0.001656
676	0.001440
677	0.001538
678	0.001447
679	0.001394
680	0.001525
681	0.001239
682	0.000723
683	0.001300
684	0.001843
685	0.002334
686	0.001924
687	0.001339
688	0.001182
689	0.001224
690	0.001430
691	0.001321
692	0.001285
693	0.001426
694	0.001369
695	0.001275
696	0.001418
697	0.001544
698	0.001655
699	0.001504
700	0.001335
701	0.001164
702	0.001338
703	0.001552
704	0.001379
705	0.000956
706	0.000348
707	0.000922
708	0.001269
709	0.001275
710	0.001588
711	0.001852
712	0.001785
713	0.001589
714	0.001365
715	0.001408
716	0.001409
717	0.001375
718	0.001415
719	0.001440
720	0.001442
721	0.001018
722	0.000795
723	0.001259
724	0.001753
725	0.002161
726	0.002125
727	0.001721
728	0.001152
729	0.001194
730	0.001384
731	0.001703
732	0.001555
733	0.001509
734	0.001595
735	0.001498
736	0.001491
737	0.001660
738	0.001415
739	0.001131
740	0.000929
741	0.000692
742	0.000633
743	0.001101
744	0.001260
745	0.001512
746	0.002472
747	0.002185
748	0.001520
749	0.001488
750	0.001394
751	0.001364
752	0.001786
753	0.001876
754	0.001744
755	0.001336
756	0.001141
757	0.001188
758	0.001916
759	0.001937
760	0.001678
761	0.001735
762	0.001554
763	0.001354
764	0.001509
765	0.001558
766	0.001481
767	0.001133
768	0.001600
769	0.002227
770	0.002606
771	0.002908
772	0.003050
773	0.002918
774	0.002021
775	0.001414
776	0.001372
777	0.001222
778	0.001036
779	0.000850
780	0.001432
