Model Name	LI-180
Serial Number	A21M0027
Time	2025/06/25_15:16:27
679nm	0.055104
680nm	0.055275
681nm	0.043608
682nm	0.025179
683nm	0.015840
684nm	0.023901
685nm	0.058768
686nm	0.060531
687nm	0.053604
688nm	0.050592
689nm	0.035902
690nm	0.011774
691nm	0.042836
692nm	0.061182
693nm	0.048268
694nm	0.029142
695nm	0.014586
696nm	0.044589
697nm	0.055094
698nm	0.048575
699nm	0.038800
700nm	0.025867
701nm	0.007305
702nm	0.033433
703nm	0.061574
704nm	0.024059
705nm	0.018097
706nm	0.035356
707nm	0.042488
708nm	0.035244
709nm	0.007451
710nm	0.020290
711nm	0.040989
712nm	0.060527
713nm	0.057211
714nm	0.045670
715nm	0.054705
716nm	0.066658
717nm	0.081099
718nm	0.065803
719nm	0.054807
720nm	0.051186
721nm	0.026143
722nm	0.013437
723nm	0.040452
724nm	0.042357
725nm	0.036417
726nm	0.036406
727nm	0.035270
728nm	0.031872
729nm	0.010129
730nm	0.020435
731nm	0.058690
732nm	0.024688
733nm	0.018085
734nm	0.045708
735nm	0.019521
736nm	0.013360
737nm	0.048779
738nm	0.044904
739nm	0.042083
740nm	0.057323
741nm	0.035286
742nm	0.017662
743nm	0.040742
744nm	0.042597
745nm	0.040458
746nm	0.050436
747nm	0.053611
748nm	0.047071
749nm	0.011421
750nm	0.022009
751nm	0.043299
752nm	0.010855
753nm	0.001379
754nm	0.007206
755nm	0.032386
756nm	0.022809
757nm	0.001057
758nm	0.007472
759nm	0.022625
760nm	0.040961
761nm	0.054128
762nm	0.046292
763nm	0.033392
764nm	0.037887
765nm	0.047203
766nm	0.052597
767nm	0.039415
768nm	0.031256
769nm	0.029844
770nm	0.041374
771nm	0.069952
772nm	0.079532
773nm	0.045274
774nm	0.016463
775nm	0.016827
776nm	0.057573
777nm	0.048402
778nm	0.048729
779nm	0.059709
780nm	0.030248
CCT	0.000000
Duv	0.222910
x	0.159592
y	0.019040
u'	0.219424
v'	0.058901
deltax	0.159592
deltay	0.019040
deltau'	0.219424
deltav'	0.058901
Purity	99.133781
CRI	0.000000
R1	0.000000
R2	0.000000
R3	0.000000
R4	0.000000
R5	0.000000
R6	0.000000
R7	0.000000
R8	0.000000
R9	0.000000
R10	0.000000
R11	0.000000
R12	0.000000
R13	0.000000
R14	0.000000
R15	0.000000
