Wavelength(nm)	PFD(umol m-2 s-1)
380	0.000599
381	0.000601
382	0.000611
383	0.000622
384	0.000614
385	0.000607
386	0.000602
387	0.000596
388	0.000585
389	0.000574
390	0.000567
391	0.000559
392	0.000552
393	0.000546
394	0.000541
395	0.000533
396	0.000525
397	0.000532
398	0.000543
399	0.000540
400	0.000537
401	0.000546
402	0.000558
403	0.000575
404	0.000593
405	0.000616
406	0.000637
407	0.000658
408	0.000684
409	0.000714
410	0.000758
411	0.000807
412	0.000881
413	0.000961
414	0.001071
415	0.001187
416	0.001356
417	0.001537
418	0.001765
419	0.002016
420	0.002315
421	0.002669
422	0.003089
423	0.003580
424	0.004122
425	0.004796
426	0.005526
427	0.006463
428	0.007441
429	0.008725
430	0.010072
431	0.011819
432	0.013685
433	0.015903
434	0.018282
435	0.020924
436	0.023629
437	0.026395
438	0.028920
439	0.031316
440	0.033015
441	0.034520
442	0.035002
443	0.035333
444	0.034621
445	0.033733
446	0.032085
447	0.030272
448	0.028124
449	0.025919
450	0.023649
451	0.021524
452	0.019492
453	0.017770
454	0.016151
455	0.014835
456	0.013560
457	0.012479
458	0.011421
459	0.010491
460	0.009576
461	0.008703
462	0.007871
463	0.007090
464	0.006378
465	0.005709
466	0.005152
467	0.004627
468	0.004213
469	0.003814
470	0.003508
471	0.003214
472	0.002964
473	0.002734
474	0.002539
475	0.002363
476	0.002206
477	0.002054
478	0.001903
479	0.001791
480	0.001686
481	0.001579
482	0.001481
483	0.001433
484	0.001386
485	0.001342
486	0.001313
487	0.001301
488	0.001289
489	0.001277
490	0.001284
491	0.001296
492	0.001331
493	0.001366
494	0.001393
495	0.001429
496	0.001485
497	0.001550
498	0.001627
499	0.001707
500	0.001788
501	0.001867
502	0.001945
503	0.002054
504	0.002159
505	0.002248
506	0.002345
507	0.002457
508	0.002564
509	0.002665
510	0.002759
511	0.002851
512	0.002935
513	0.003020
514	0.003119
515	0.003213
516	0.003292
517	0.003374
518	0.003461
519	0.003536
520	0.003604
521	0.003674
522	0.003744
523	0.003784
524	0.003830
525	0.003894
526	0.003950
527	0.003993
528	0.004034
529	0.004075
530	0.004096
531	0.004112
532	0.004143
533	0.004173
534	0.004199
535	0.004220
536	0.004233
537	0.004252
538	0.004275
539	0.004284
540	0.004290
