Wavelength(nm)	PFD(umol m-2 s-1)
380	0.002435
381	0.002616
382	0.002572
383	0.002505
384	0.002618
385	0.002695
386	0.002530
387	0.002422
388	0.002485
389	0.002491
390	0.002400
391	0.002284
392	0.002143
393	0.002107
394	0.002142
395	0.002262
396	0.002414
397	0.002368
398	0.002283
399	0.002284
400	0.002297
401	0.002399
402	0.002520
403	0.002711
404	0.002966
405	0.003354
406	0.003693
407	0.003968
408	0.004431
409	0.005035
410	0.005828
411	0.006705
412	0.007807
413	0.008962
414	0.010524
415	0.012178
416	0.014635
417	0.017264
418	0.020555
419	0.024138
420	0.028310
421	0.033179
422	0.038884
423	0.045564
424	0.052953
425	0.061942
426	0.071603
427	0.083726
428	0.096351
429	0.113194
430	0.130787
431	0.153153
432	0.177138
433	0.205997
434	0.236799
435	0.270751
436	0.305104
437	0.339849
438	0.371322
439	0.401043
440	0.421338
441	0.439004
442	0.442508
443	0.443978
444	0.432035
445	0.417920
446	0.394519
447	0.369113
448	0.339642
449	0.310042
450	0.280315
451	0.253043
452	0.227350
453	0.205795
454	0.185603
455	0.169712
456	0.154402
457	0.141970
458	0.129720
459	0.118542
460	0.107609
461	0.097257
462	0.087280
463	0.077741
464	0.069210
465	0.061303
466	0.054642
467	0.048352
468	0.043450
469	0.038740
470	0.035164
471	0.031772
472	0.029093
473	0.026539
474	0.024209
475	0.022134
476	0.020293
477	0.018671
478	0.017149
479	0.015744
480	0.014358
481	0.013421
482	0.012521
483	0.011831
484	0.011243
485	0.010881
486	0.010572
487	0.010323
488	0.010294
489	0.010388
490	0.010630
491	0.010908
492	0.011207
493	0.011535
494	0.012036
495	0.012581
496	0.013219
497	0.013949
498	0.014778
499	0.015664
500	0.016581
501	0.017589
502	0.018618
503	0.019695
504	0.020789
505	0.021956
506	0.023159
507	0.024424
508	0.025634
509	0.026796
510	0.027944
511	0.029090
512	0.030295
513	0.031502
514	0.032608
515	0.033739
516	0.034929
517	0.036015
518	0.036974
519	0.037756
520	0.038439
521	0.039232
522	0.040049
523	0.040827
524	0.041594
525	0.042312
526	0.042932
527	0.043405
528	0.043839
529	0.044247
530	0.044671
531	0.045101
532	0.045410
533	0.045744
534	0.046181
535	0.046504
536	0.046653
537	0.046880
538	0.047161
539	0.047310
540	0.047429
541	0.047607
542	0.047754
543	0.047793
544	0.047848
545	0.047925
546	0.047988
547	0.048041
548	0.048069
549	0.048082
550	0.047955
551	0.047889
552	0.047967
553	0.047944
554	0.047825
555	0.047720
556	0.047620
557	0.047757
558	0.047844
559	0.047659
560	0.047496
561	0.047363
562	0.047351
563	0.047408
564	0.047302
565	0.047167
566	0.047015
567	0.046893
568	0.046833
569	0.046728
570	0.046589
571	0.046328
572	0.046054
573	0.046179
574	0.046147
575	0.045719
576	0.045464
577	0.045367
578	0.045328
579	0.045300
580	0.044952
581	0.044635
582	0.044406
583	0.044223
584	0.044082
585	0.043863
586	0.043620
587	0.043395
588	0.043156
589	0.042880
590	0.042645
591	0.042447
592	0.042250
593	0.042043
594	0.041677
595	0.041344
596	0.041082
597	0.040879
598	0.040718
599	0.040489
600	0.040262
601	0.040130
602	0.040068
603	0.040111
604	0.040052
605	0.039943
606	0.039994
607	0.040112
608	0.040429
609	0.040729
610	0.041009
611	0.041436
612	0.041907
613	0.042403
614	0.043072
615	0.044059
616	0.045056
617	0.046060
618	0.047731
619	0.049488
620	0.051362
621	0.053483
622	0.055836
623	0.058671
624	0.061696
625	0.065309
626	0.069253
627	0.073663
628	0.078872
629	0.084428
630	0.090933
631	0.097825
632	0.105495
633	0.114348
634	0.123891
635	0.134928
636	0.146542
637	0.159483
638	0.173873
639	0.189316
640	0.207115
641	0.225931
642	0.247261
643	0.270705
644	0.295902
645	0.324476
646	0.354436
647	0.387724
648	0.422915
649	0.459776
650	0.498961
651	0.538482
652	0.577668
653	0.614144
654	0.648338
655	0.672365
656	0.691514
657	0.698343
658	0.695466
659	0.685190
660	0.659899
661	0.629435
662	0.588541
663	0.542220
664	0.492443
665	0.438817
666	0.386013
667	0.335342
