Model Name	LI-180
Serial Number	A21M0027
Time	2025/06/25_16:06:19
PPFD	95.025620
PFD	96.453148
PFD-UV	0.125958
PFD-B	25.256756
PFD-G	12.109421
PFD-R	57.659447
PFD-FR	1.301592
RFR(600~780nm)	58.961056
CHLB(430~480nm)	22.602482
Custom3(380~780nm)	96.453148
Custom4(380~780nm)	96.453148
UV%	0.130590
B%	26.185509
G%	12.554714
R%	59.779728
FR%	1.349454
RFR%	61.129219
CHLB%	23.433638
Custom3%	100.000000
Custom4%	100.000000
R:B	2.282932
R:FR	44.299187
R:G	4.761536
B:G	2.085711
UV:B	0.004987
UV:FR	0.096773
B:G:R	0.000000
B:R:FR	0.000000
UV:B:G:R:FR	0.000000
RFR(PFD-R:PFD-FR)	44.299187
BRAT(CHLB:PFD-B)	0.894908
Ratio3	0.000000
Ratio4	0.000000
LambdaP	657.000000
LambdaPV	401.134186
LambdaD	380.000000
LUX	2534.961670
IRR	20.232290
fc	235.591232
I-Time	32.000000
380nm	2.103828
381nm	2.039786
382nm	2.043230
383nm	2.055592
384nm	2.154381
385nm	2.220766
386nm	2.072566
387nm	1.935650
388nm	1.832890
389nm	1.789812
390nm	1.850162
391nm	1.886625
392nm	1.897620
393nm	1.872476
394nm	1.823492
395nm	1.805332
396nm	1.799061
397nm	1.823601
398nm	1.853951
399nm	1.890652
400nm	1.926597
401nm	1.951272
402nm	1.989522
403nm	2.080835
404nm	2.226366
405nm	2.484138
406nm	2.735383
407nm	2.978598
408nm	3.236408
409nm	3.505153
410nm	3.929325
411nm	4.421488
412nm	5.139908
413nm	5.907889
414nm	6.971548
415nm	8.077037
416nm	9.503993
417nm	11.056483
418nm	13.115701
419nm	15.400819
420nm	18.152618
421nm	21.304523
422nm	24.936584
423nm	29.167044
424nm	33.824268
425nm	39.566277
426nm	45.743546
427nm	53.563694
428nm	61.686607
429nm	72.674316
430nm	84.120895
431nm	98.759064
432nm	114.334335
433nm	132.846237
434nm	152.643753
435nm	174.573380
436nm	196.615662
437nm	218.765610
438nm	238.570343
439nm	257.084259
440nm	269.726593
441nm	280.703064
442nm	283.149506
443nm	284.346344
444nm	277.048279
445nm	268.456940
446nm	254.238785
447nm	238.797104
448nm	220.812256
449nm	202.612900
450nm	184.165573
451nm	167.088852
452nm	150.911545
453nm	137.091492
454nm	124.079201
455nm	113.260803
456nm	102.774422
457nm	93.975327
458nm	85.368195
459nm	77.670143
460nm	70.242241
461nm	63.389133
462nm	56.895519
463nm	50.813511
464nm	45.401379
465nm	40.410583
466nm	36.175968
467nm	32.176674
468nm	29.005655
469nm	25.969000
470nm	23.741510
471nm	21.574875
472nm	19.629045
473nm	17.860411
474nm	16.394085
475nm	14.997866
476nm	13.665252
477nm	12.580133
478nm	11.611357
479nm	10.760223
480nm	9.931923
481nm	9.396961
482nm	8.879187
483nm	8.448075
