Wavelength(nm)	PFD(umol m-2 s-1)
380	0.018956
381	0.018277
382	0.016143
383	0.013876
384	0.014583
385	0.015092
386	0.014266
387	0.013150
388	0.011166
389	0.010181
390	0.010948
391	0.012033
392	0.013461
393	0.012818
394	0.010798
395	0.011298
396	0.012780
397	0.011588
398	0.009882
399	0.009021
400	0.008518
401	0.011688
402	0.014321
403	0.014804
404	0.014990
405	0.014557
406	0.012985
407	0.010004
408	0.009236
409	0.010137
410	0.012586
411	0.015724
412	0.015439
413	0.014398
414	0.014482
415	0.014489
416	0.012644
417	0.011128
418	0.010974
419	0.011389
420	0.012987
421	0.013245
422	0.011883
423	0.010559
424	0.009261
425	0.010407
426	0.012544
427	0.012748
428	0.012594
429	0.012628
430	0.012602
431	0.012042
432	0.010870
433	0.007783
434	0.006513
435	0.008281
436	0.008422
437	0.006998
438	0.006893
439	0.007518
440	0.009218
441	0.011229
442	0.012052
443	0.012596
444	0.009906
445	0.008070
446	0.010003
447	0.010416
448	0.007646
449	0.007044
450	0.008965
451	0.010705
452	0.012328
453	0.011077
454	0.008831
455	0.008461
456	0.008321
457	0.007908
458	0.007389
459	0.006371
460	0.006489
461	0.009042
462	0.009636
463	0.007973
464	0.009025
465	0.011798
466	0.012751
467	0.013138
468	0.010684
469	0.008123
470	0.008135
471	0.008783
472	0.011744
473	0.013610
474	0.013590
475	0.011682
476	0.008049
477	0.009050
478	0.012245
479	0.010827
480	0.008503
481	0.012656
482	0.015480
483	0.010856
484	0.008254
485	0.010051
486	0.010017
487	0.007979
488	0.008388
489	0.010168
490	0.010726
491	0.010993
492	0.009511
493	0.008530
494	0.010899
495	0.011613
496	0.008626
497	0.007794
498	0.009301
499	0.008765
500	0.007134
501	0.006996
502	0.007174
503	0.006590
504	0.006543
505	0.009015
506	0.009485
507	0.006282
508	0.006526
509	0.009807
510	0.010437
511	0.009997
512	0.009135
513	0.008169
514	0.006614
515	0.005637
516	0.006291
517	0.007808
518	0.010384
519	0.009897
520	0.007659
521	0.009264
522	0.011577
523	0.008358
524	0.005909
525	0.006383
526	0.007051
527	0.008004
528	0.009054
529	0.010172
530	0.010653
531	0.010974
532	0.010508
533	0.009785
534	0.008032
535	0.006656
536	0.005856
537	0.007120
538	0.009754
539	0.007762
540	0.004750
541	0.007246
542	0.009234
543	0.009433
544	0.009056
545	0.007925
546	0.007765
547	0.008139
548	0.009406
549	0.010677
550	0.010210
551	0.009429
552	0.007897
553	0.008332
554	0.010642
555	0.010886
556	0.010378
557	0.010036
558	0.009474
559	0.007887
560	0.007604
561	0.009221
562	0.009939
563	0.010143
564	0.010058
565	0.009733
566	0.007597
567	0.006916
568	0.009191
569	0.010008
570	0.009705
571	0.011230
572	0.013054
573	0.011395
574	0.010217
575	0.010266
576	0.011763
577	0.014571
578	0.013120
579	0.010494
580	0.013536
581	0.015634
582	0.015095
583	0.015611
584	0.017123
585	0.017560
586	0.017676
587	0.017995
588	0.019140
589	0.022439
590	0.025191
591	0.027469
592	0.030944
593	0.034695
594	0.037759
