Model Name	LI-180
Serial Number	A21M0027
Time	2025/06/25_11:48:20
PPFD	20.333118
PFD	20.552572
PFD-UV	0.017641
PFD-B	0.068606
PFD-G	0.093515
PFD-R	20.171000
PFD-FR	0.201809
RFR(600~780nm)	20.372814
CHLB(430~480nm)	0.032183
Custom3(380~780nm)	20.552572
Custom4(380~780nm)	20.552572
UV%	0.085831
B%	0.333806
G%	0.455004
R%	98.143440
FR%	0.981915
RFR%	99.125374
CHLB%	0.156590
Custom3%	100.000000
Custom4%	100.000000
R:B	294.013519
R:FR	99.951073
R:G	215.697800
B:G	0.733632
UV:B	0.257129
UV:FR	0.087412
B:G:R	0.000000
B:R:FR	0.000000
UV:B:G:R:FR	0.000000
RFR(PFD-R:PFD-FR)	99.951073
BRAT(CHLB:PFD-B)	0.469106
Ratio3	0.000000
Ratio4	0.000000
LambdaP	661.000000
LambdaPV	137.505661
LambdaD	642.000000
LUX	234.017883
IRR	3.749121
fc	21.748875
I-Time	96.000000
380nm	0.347046
381nm	0.406646
382nm	0.346005
383nm	0.272913
384nm	0.278616
385nm	0.279803
386nm	0.251092
387nm	0.231067
388nm	0.237336
389nm	0.255808
390nm	0.295428
391nm	0.293119
392nm	0.246106
393nm	0.225809
394nm	0.223135
395nm	0.225956
396nm	0.230897
397nm	0.244989
398nm	0.260808
399nm	0.285655
400nm	0.306832
401nm	0.283055
402nm	0.250800
403nm	0.185402
404nm	0.169246
405nm	0.255029
406nm	0.276099
407nm	0.217554
408nm	0.195991
409nm	0.202138
410nm	0.220776
411nm	0.244878
412nm	0.246617
413nm	0.243458
414nm	0.239690
415nm	0.238177
416nm	0.266307
417nm	0.280282
418nm	0.237120
419nm	0.205184
420nm	0.196441
421nm	0.206564
422nm	0.239327
423nm	0.252811
424nm	0.252547
425nm	0.241518
426nm	0.226171
427nm	0.211266
428nm	0.196442
429nm	0.189241
430nm	0.184603
431nm	0.199479
432nm	0.207402
433nm	0.193539
434nm	0.190459
435nm	0.205259
436nm	0.208607
437nm	0.201009
438nm	0.183936
439nm	0.161649
440nm	0.143444
441nm	0.126398
442nm	0.136816
443nm	0.150830
444nm	0.184039
445nm	0.205965
446nm	0.178798
447nm	0.162278
448nm	0.167889
449nm	0.169602
450nm	0.166808
451nm	0.150358
452nm	0.124948
453nm	0.118258
454nm	0.117983
455nm	0.151417
456nm	0.187680
457nm	0.176653
458nm	0.167703
459nm	0.168593
460nm	0.167406
461nm	0.161801
462nm	0.159246
463nm	0.160184
464nm	0.160878
465nm	0.161420
