arquivo,ID,X,Y,PFD,PPFD,linha,coluna
ESPD_119100V.txt,100V,1,1,12.3076,12.167018,32,242
ESPD_129100V.txt,100V,1,2,176.272858,174.737183,77,242
ESPD_139100V.txt,100V,1,3,120.904205,119.852211,107,242
ESPD_149100V.txt,100V,1,4,186.165054,184.68335,137,242
ESPD_159100V.txt,100V,1,5,12.888573,12.740703,182,242
ESPD_219100V.txt,100V,2,1,18.50386,18.305655,32,194
ESPD_229100V.txt,100V,2,2,394.118317,390.616699,77,194
ESPD_239100V.txt,100V,2,3,364.108917,361.040649,107,194
ESPD_249100V.txt,100V,2,4,381.056366,377.560028,137,194
ESPD_259100V.txt,100V,2,5,19.460581,19.234243,182,194
ESPD_319100V.txt,100V,3,1,20.552572,20.333118,32,150
ESPD_329100V.txt,100V,3,2,397.176025,393.48642,77,150
ESPD_339100V.txt,100V,3,3,413.757263,410.11911,107,150
ESPD_349100V.txt,100V,3,4,418.134552,414.364044,137,150
ESPD_359100V.txt,100V,3,5,19.951939,19.718967,182,150
ESPD_419100V.txt,100V,4,1,21.079441,20.863264,32,106
ESPD_429100V.txt,100V,4,2,372.997986,369.575928,77,106
ESPD_439100V.txt,100V,4,3,368.450317,365.095062,107,106
ESPD_449100V.txt,100V,4,4,398.140533,394.17218,137,106
ESPD_459100V.txt,100V,4,5,18.365667,18.14698,182,106
ESPD_519100V.txt,100V,5,1,19.321617,19.112103,32,60
ESPD_529100V.txt,100V,5,2,363.293854,359.998901,77,60
ESPD_539100V.txt,100V,5,3,359.555389,355.876373,107,60
ESPD_549100V.txt,100V,5,4,380.310974,376.38269,137,60
ESPD_559100V.txt,100V,5,5,16.286222,16.091566,182,60
