Model Name	LI-180
Serial Number	A21M0027
Time	2025/06/25_11:41:16
PPFD	390.616699
PFD	394.118317
PFD-UV	0.255096
PFD-B	1.054595
PFD-G	1.309529
PFD-R	388.252594
PFD-FR	3.246500
RFR(600~780nm)	391.499084
CHLB(430~480nm)	0.480779
Custom3(380~780nm)	394.118317
Custom4(380~780nm)	394.118317
UV%	0.064726
B%	0.267583
G%	0.332268
R%	98.511688
FR%	0.823738
RFR%	99.335419
CHLB%	0.121988
Custom3%	100.000000
Custom4%	100.000000
R:B	368.153259
R:FR	119.591118
R:G	296.482605
B:G	0.805324
UV:B	0.241890
UV:FR	0.078576
B:G:R	0.000000
B:R:FR	0.000000
UV:B:G:R:FR	0.000000
RFR(PFD-R:PFD-FR)	119.591118
BRAT(CHLB:PFD-B)	0.455890
Ratio3	0.000000
Ratio4	0.000000
LambdaP	661.000000
LambdaPV	2656.262451
LambdaD	643.000000
LUX	4411.148926
IRR	71.845467
fc	409.958069
I-Time	4.000000
380nm	5.967517
381nm	5.738515
382nm	5.055178
383nm	4.334132
384nm	4.543000
385nm	4.689281
386nm	4.421088
387nm	4.064932
388nm	3.442511
389nm	3.130970
390nm	3.358171
391nm	3.681652
392nm	4.107787
393nm	3.901617
394nm	3.278352
395nm	3.421677
396nm	3.860688
397nm	3.491694
398nm	2.970325
399nm	2.704557
400nm	2.547366
401nm	3.486729
402nm	4.261754
403nm	4.394368
404nm	4.438575
405nm	4.299767
406nm	3.826123
407nm	2.940523
408nm	2.708080
409nm	2.965051
410nm	3.672340
411nm	4.576618
412nm	4.482839
413nm	4.170438
414nm	4.184747
415nm	4.176656
416nm	3.635960
417nm	3.192345
418nm	3.140609
419nm	3.251670
420nm	3.699050
421nm	3.763512
422nm	3.368440
423nm	2.986154
424nm	2.612986
425nm	2.929365
426nm	3.522417
427nm	3.571312
428nm	3.519928
429nm	3.521291
430nm	3.505891
431nm	3.342215
432nm	3.010139
433nm	2.150345
434nm	1.795278
435nm	2.277274
436nm	2.310764
437nm	1.915609
438nm	1.882514
439nm	2.048703
440nm	2.506056
441nm	3.046014
442nm	3.261837
443nm	3.401307
444nm	2.668942
445nm	2.169428
446nm	2.682985
447nm	2.787464
448nm	2.041657
449nm	1.876655
450nm	2.383191
451nm	2.839407
452nm	3.262604
453nm	2.925139
454nm	2.327015
455nm	2.224446
456nm	2.182844
457nm	2.070102
458nm	1.930009
459nm	1.660391
460nm	1.687611
461nm	2.346391
462nm	2.495125
463nm	2.059897
464nm	2.326725
465nm	3.035112
466nm	3.273367
467nm	3.365321
468nm	2.731046
469nm	2.072002
470nm	2.070608
471nm	2.230639
472nm	2.976359
473nm	3.442017
474nm	3.429862
475nm	2.942088
476nm	2.022767
477nm	2.269552
478nm	3.064494
479nm	2.703918
480nm	2.119077
481nm	3.147504
482nm	3.841852
483nm	2.688705
484nm	2.039963
485nm	2.479141
486nm	2.465633
487nm	1.959876
488nm	2.056264
489nm	2.487405
490nm	2.618535
491nm	2.678228
492nm	2.312635
493nm	2.069751
494nm	2.639357
495nm	2.806448
496nm	2.080417
497nm	1.876037
498nm	2.234341
499nm	2.101192
500nm	1.706767
501nm	1.670553
502nm	1.709629
503nm	1.567315
504nm	1.553091
505nm	2.135446
506nm	2.242298
507nm	1.482250
508nm	1.536884
509nm	2.304823
510nm	2.448018
511nm	2.340391
512nm	2.134280
513nm	1.905013
514nm	1.539307
515nm	1.309327
516nm	1.458495
517nm	1.806668
518nm	2.398059
519nm	2.281103
520nm	1.762020
521nm	2.127082
522nm	2.653109
523nm	1.911712
524nm	1.348886
525nm	1.454539
