Model Name	LI-180
Serial Number	A21M0027
Time	2025/06/25_11:50:42
PPFD	19.234243
PFD	19.460581
PFD-UV	0.017825
PFD-B	0.072929
PFD-G	0.092072
PFD-R	19.069242
PFD-FR	0.208509
RFR(600~780nm)	19.277754
CHLB(430~480nm)	0.034549
Custom3(380~780nm)	19.460581
Custom4(380~780nm)	19.460581
UV%	0.091596
B%	0.374751
G%	0.473118
R%	97.989090
FR%	1.071443
RFR%	99.060532
CHLB%	0.177535
Custom3%	100.000000
Custom4%	100.000000
R:B	261.477722
R:FR	91.455223
R:G	207.113281
B:G	0.792088
UV:B	0.244419
UV:FR	0.085489
B:G:R	0.000000
B:R:FR	0.000000
UV:B:G:R:FR	0.000000
RFR(PFD-R:PFD-FR)	91.455223
BRAT(CHLB:PFD-B)	0.473742
Ratio3	0.000000
Ratio4	0.000000
LambdaP	660.000000
LambdaPV	130.053726
LambdaD	643.000000
LUX	222.013397
IRR	3.550676
fc	20.633215
I-Time	102.000000
380nm	0.350831
381nm	0.372734
382nm	0.343661
383nm	0.309430
384nm	0.316805
385nm	0.319289
386nm	0.289384
387nm	0.268277
388nm	0.273805
389nm	0.278810
390nm	0.282909
391nm	0.263762
392nm	0.219829
393nm	0.199709
394nm	0.195298
395nm	0.198769
396nm	0.205279
397nm	0.245900
398nm	0.292953
399nm	0.286937
400nm	0.277620
401nm	0.255173
402nm	0.237625
403nm	0.239227
404nm	0.245988
405nm	0.263426
406nm	0.262223
407nm	0.238084
408nm	0.232171
409nm	0.239915
410nm	0.235200
411nm	0.225036
412nm	0.246862
413nm	0.275694
414nm	0.273161
415nm	0.270985
416nm	0.296742
417nm	0.309173
418nm	0.267816
419nm	0.236474
420nm	0.225820
421nm	0.234613
422nm	0.266742
423nm	0.278778
424nm	0.276485
425nm	0.246131
426nm	0.204519
427nm	0.209013
428nm	0.222005
429nm	0.215900
430nm	0.211571
431nm	0.225670
432nm	0.226631
433nm	0.186427
434nm	0.176870
435nm	0.218138
436nm	0.220682
437nm	0.186218
438nm	0.177943
439nm	0.184083
440nm	0.194876
441nm	0.206988
442nm	0.194465
443nm	0.180612
444nm	0.185575
445nm	0.184546
446nm	0.157449
447nm	0.140897
448nm	0.146259
449nm	0.148675
450nm	0.147684
451nm	0.146902
452nm	0.146259
453nm	0.164231
454nm	0.188582
455nm	0.180379
456nm	0.168786
457nm	0.181675
458nm	0.196872
459nm	0.222998
460nm	0.231128
461nm	0.200972
462nm	0.173388
463nm	0.148747
464nm	0.155426
465nm	0.181804
466nm	0.193431
467nm	0.200467
468nm	0.213247
469nm	0.222804
470nm	0.176940
471nm	0.143766
472nm	0.156636
473nm	0.169326
474nm	0.181709
475nm	0.197160
476nm	0.215394
477nm	0.176992
478nm	0.111968
479nm	0.147667
480nm	0.202916
481nm	0.188980
482nm	0.174830
483nm	0.161065
484nm	0.145626
485nm	0.126577
486nm	0.133115
487nm	0.167476
488nm	0.186403
489nm	0.196750
490nm	0.160775
491nm	0.113770
492nm	0.123071
493nm	0.132272
494nm	0.131767
495nm	0.131323
496nm	0.131018
497nm	0.138955
498nm	0.155783
499nm	0.161715
500nm	0.161854
501nm	0.148135
502nm	0.131507
503nm	0.126011
504nm	0.121519
505nm	0.121699
506nm	0.125943
507nm	0.137594
508nm	0.133951
509nm	0.116919
510nm	0.132590
511nm	0.161391
512nm	0.164566
513nm	0.162934
514nm	0.140047
515nm	0.124757
516nm	0.130690
517nm	0.144388
518nm	0.167579
519nm	0.175897
520nm	0.175772
521nm	0.180259
522nm	0.184968
523nm	0.149914
524nm	0.127005
525nm	0.149561
526nm	0.155841
527nm	0.138203
528nm	0.141203
529nm	0.157924
530nm	0.147493
531nm	0.130182
532nm	0.118746
533nm	0.117421
534nm	0.157178
535nm	0.167441
536nm	0.133332
537nm	0.130191
538nm	0.147436
539nm	0.155430
540nm	0.161236
541nm	0.167272
542nm	0.169442
543nm	0.158232
544nm	0.164681
545nm	0.194109
546nm	0.189791
547nm	0.167035
548nm	0.174405
549nm	0.183952
550nm	0.160900
551nm	0.141231
552nm	0.129679
553nm	0.133317
554nm	0.151356
555nm	0.157266
556nm	0.158788
557nm	0.157441
558nm	0.157310
559nm	0.163223
560nm	0.164260
561nm	0.158223
562nm	0.152283
563nm	0.146399
564nm	0.140811
565nm	0.137659
566nm	0.156561
567nm	0.169488
568nm	0.170351
569nm	0.185325
570nm	0.211090
571nm	0.201895
572nm	0.184958
573nm	0.185749
574nm	0.181063
575nm	0.162540
576nm	0.154005
577nm	0.154463
578nm	0.159757
579nm	0.166825
580nm	0.193100
581nm	0.221169
582nm	0.254198
583nm	0.257208
584nm	0.232047
585nm	0.247327
586nm	0.274542
587nm	0.289122
588nm	0.300076
589nm	0.301607
590nm	0.324795
591nm	0.366746
592nm	0.370645
593nm	0.367058
594nm	0.400988
595nm	0.437114
596nm	0.477882
597nm	0.514610
598nm	0.548494
599nm	0.629449
600nm	0.712576
601nm	0.754538
602nm	0.804760
603nm	0.867585
604nm	0.959437
605nm	1.065618
606nm	1.172628
607nm	1.284636
608nm	1.413911
609nm	1.557101
610nm	1.714061
611nm	1.888491
612nm	2.071610
613nm	2.307869
614nm	2.556382
615nm	2.827263
616nm	3.129148
617nm	3.448335
618nm	3.801063
619nm	4.189549
620nm	4.693427
621nm	5.212876
622nm	5.746808
623nm	6.343970
624nm	6.976919
625nm	7.777900
626nm	8.589410
627nm	9.415873
628nm	10.418857
629nm	11.495713
630nm	12.754764
631nm	14.076471
632nm	15.526906
633nm	17.112925
634nm	18.776405
635nm	20.783047
636nm	22.877016
637nm	25.162525
638nm	27.624794
639nm	30.213552
640nm	33.142941
641nm	36.214699
642nm	39.650566
643nm	43.354237
644nm	47.277458
645nm	51.650085
646nm	56.196178
647nm	61.168980
648nm	66.508629
649nm	72.166138
650nm	78.230919
651nm	84.449272
652nm	91.026566
653nm	97.644455
654nm	104.296638
655nm	110.647720
656nm	116.680367
657nm	121.750999
658nm	125.809448
659nm	129.099960
660nm	130.053726
661nm	130.012817
662nm	127.804749
663nm	123.968346
664nm	119.115150
665nm	111.971924
666nm	104.252632
667nm	95.488800
668nm	86.313118
669nm	76.961266
670nm	67.931671
671nm	59.318817
672nm	51.314270
673nm	44.252434
674nm	37.671574
675nm	32.339878
676nm	27.580498
677nm	23.373253
678nm	20.005577
679nm	16.944185
680nm	14.444471
681nm	12.320395
682nm	10.419476
683nm	8.945164
684nm	7.628129
685nm	6.553390
686nm	5.664653
687nm	4.864874
688nm	4.247395
689nm	3.697999
690nm	3.203627
691nm	2.781938
692nm	2.405046
693nm	2.107485
694nm	1.884244
695nm	1.690098
696nm	1.510248
697nm	1.371387
698nm	1.268312
699nm	1.126466
700nm	1.015465
701nm	0.968453
702nm	0.861341
703nm	0.755339
704nm	0.757295
705nm	0.730397
706nm	0.682263
707nm	0.633711
708nm	0.593299
709nm	0.564593
710nm	0.561158
711nm	0.557554
712nm	0.538413
713nm	0.497874
714nm	0.447222
715nm	0.396086
716nm	0.401145
717nm	0.454115
718nm	0.394601
719nm	0.361901
720nm	0.372314
721nm	0.382598
722nm	0.386682
723nm	0.375597
724nm	0.333890
725nm	0.298078
726nm	0.340170
727nm	0.342579
728nm	0.326640
729nm	0.369459
730nm	0.389629
731nm	0.390049
732nm	0.412170
733nm	0.395793
734nm	0.332207
735nm	0.288047
736nm	0.270217
737nm	0.292791
738nm	0.343191
739nm	0.357393
740nm	0.281538
741nm	0.301186
742nm	0.340994
743nm	0.364922
744nm	0.338960
745nm	0.313066
746nm	0.348940
747nm	0.344793
748nm	0.328271
749nm	0.330405
750nm	0.356716
751nm	0.388426
752nm	0.391087
753nm	0.393681
754nm	0.390275
755nm	0.356121
756nm	0.378716
757nm	0.415933
758nm	0.380515
759nm	0.386833
760nm	0.413694
761nm	0.440488
762nm	0.396918
763nm	0.337046
764nm	0.338056
765nm	0.329851
766nm	0.339743
767nm	0.419050
768nm	0.409695
769nm	0.387463
770nm	0.403037
771nm	0.419075
772nm	0.430854
773nm	0.434287
774nm	0.389263
775nm	0.365827
776nm	0.382762
777nm	0.359383
778nm	0.397531
779nm	0.493446
780nm	0.409526
CCT	0.000000
Duv	0.658369
x	0.701357
y	0.281302
u'	0.564142
v'	0.509102
deltax	0.701357
deltay	0.281302
deltau'	0.564142
deltav'	0.509102
Purity	94.797623
CRI	0.000000
R1	0.000000
R2	0.000000
R3	0.000000
R4	0.000000
R5	0.000000
R6	0.000000
R7	0.000000
R8	0.000000
R9	0.000000
R10	0.000000
R11	0.000000
R12	0.000000
R13	0.000000
R14	0.000000
R15	0.000000
