x,y,linha,coluna
1,1,32,242
1,2,77,242
1,3,107,242
1,4,137,242
1,5,182,242
2,1,32,194
2,2,77,194
2,3,107,194
2,4,137,194
2,5,182,194
3,1,32,150
3,2,77,150
3,3,107,150
3,4,137,150
3,5,182,150
4,1,32,106
4,2,77,106
4,3,107,106
4,4,137,106
4,5,182,106
5,1,32,60
5,2,77,60
5,3,107,60
5,4,137,60
5,5,182,60
